Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_137,3.8505E+11,ABCDE6142F,2,94959,No,0,26136,Unemployed,45,,36525,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_28,7.96915E+11,ABCDE8320F,1,32457,No,2,78966,Unemployed,53,Own,100010,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_54,2.27883E+11,ABCDE3910F,0,96147,No,2,44619,Unemployed,75,Own,95489,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_580,2.6512E+11,ABCDE4263F,3,92039,Yes,0,108427,Employed,47,Rent,125048,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_315,5.27577E+11,ABCDE1830F,3,21681,No,0,220642,Employed,68,Rent,127939,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_208,6.7007E+11,ABCDE5782F,0,21052,Yes,2,210474,Self-Employed,26,Rent,162298,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
Person_278,8.47617E+11,ABCDE2137F,2,9215,Yes,2,240738,Employed,66,Rent,380090,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_318,4.36791E+11,ABCDE7748F,3,86487,Yes,2,67449,Unemployed,40,,35462,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_317,4.479E+11,ABCDE3113F,4,83560,No,1,82718,Self-Employed,75,Own,123153,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_898,4.14018E+11,ABCDE7333F,5,19208,No,1,99787,Unemployed,54,Own,76863,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_191,1.0459E+11,ABCDE8915F,2,55921,No,2,240253,Self-Employed,65,Own,335205,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_750,8.24474E+11,ABCDE5220F,4,67808,No,1,43830,Self-Employed,22,Own,128555,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_887,2.37432E+11,ABCDE4490F,4,92494,No,2,92526,Unemployed,51,Own,88144,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_10,6.57607E+11,ABCDE9937F,2,66078,Yes,2,252553,Self-Employed,75,,397109,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_555,9.72348E+11,ABCDE2164F,5,34021,No,1,58927,Self-Employed,50,,68134,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_207,8.11575E+11,ABCDE9487F,5,33799,No,2,120039,Unemployed,30,,47208,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_217,4.80373E+11,ABCDE7537F,0,73414,Yes,0,231354,Unemployed,69,Rent,216250,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_377,5.44404E+11,ABCDE2147F,5,28605,No,2,258375,Self-Employed,58,Own,206860,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_548,6.40745E+11,ABCDE2554F,0,11919,Yes,0,240846,Employed,52,,110794,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_950,4.61712E+11,ABCDE3489F,1,90494,No,2,280142,Employed,55,,342777,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_143,1.25453E+11,ABCDE9225F,4,69441,Yes,2,107705,Employed,64,,119523,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_801,2.54669E+11,ABCDE4933F,3,23532,No,0,246548,Employed,66,,219611,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_490,9.49539E+11,ABCDE5844F,5,65909,Yes,2,151947,Self-Employed,44,,347966,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_205,1.82861E+11,ABCDE9278F,3,34132,No,0,77348,Unemployed,51,Rent,60528,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_28,1.98423E+11,ABCDE6638F,4,78808,No,2,44865,Employed,19,Rent,88347,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_745,1.55108E+11,ABCDE3933F,4,44138,Yes,2,189766,Unemployed,62,Own,103788,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_885,6.65501E+11,ABCDE3761F,1,98072,No,0,242006,Unemployed,34,,308235,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_106,3.51964E+11,ABCDE5614F,3,11775,Yes,0,203971,Employed,52,Own,236349,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_313,4.98824E+11,ABCDE3368F,3,23876,Yes,1,98287,Unemployed,27,Rent,93505,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_158,1.82142E+11,ABCDE3745F,4,83850,Yes,2,52109,Self-Employed,62,Own,72612,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_886,1.97506E+11,ABCDE7989F,4,66230,No,1,198264,Unemployed,38,,127907,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_840,3.83041E+11,ABCDE1996F,0,23325,No,2,260794,Unemployed,54,Rent,220876,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_879,9.50612E+11,ABCDE5689F,4,74365,Yes,1,59022,Employed,41,,63228,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_88,3.77819E+11,ABCDE7403F,2,98074,No,2,177030,Self-Employed,64,,158746,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_514,1.96872E+11,ABCDE5500F,5,83886,No,2,211197,Self-Employed,62,Rent,291786,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_927,1.13781E+11,ABCDE6653F,5,59084,No,2,232836,Self-Employed,61,Own,164255,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_512,5.29657E+11,ABCDE2055F,3,31797,No,0,143225,Unemployed,69,,27189,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_303,2.09709E+11,ABCDE4344F,1,61404,No,2,114510,Self-Employed,37,Rent,64972,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_357,9.87596E+11,ABCDE3437F,2,22427,Yes,1,288056,Employed,57,,221669,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_763,4.07747E+11,ABCDE3960F,1,6650,Yes,0,141438,Employed,63,Rent,51010,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_326,6.40643E+11,ABCDE8712F,5,20439,No,2,237855,Self-Employed,28,Own,194748,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_143,4.53778E+11,ABCDE9375F,2,36563,No,1,103336,Self-Employed,41,Own,122761,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_359,7.65659E+11,ABCDE8829F,1,31690,No,2,193539,Employed,74,Own,386411,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_721,8.15997E+11,ABCDE3375F,1,52867,Yes,0,243049,Unemployed,73,Rent,152468,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_709,1.29719E+11,ABCDE8356F,1,92047,No,1,47207,Self-Employed,64,Own,105463,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_855,9.18027E+11,ABCDE4677F,3,29873,Yes,0,51086,Unemployed,55,Rent,48844,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_18,3.7804E+11,ABCDE2092F,4,86816,Yes,1,285144,Self-Employed,37,Own,365175,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_754,7.58023E+11,ABCDE6262F,5,93666,Yes,2,163577,Unemployed,51,Own,295686,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_798,9.54099E+11,ABCDE8188F,2,65096,No,1,43783,Self-Employed,70,Rent,57280,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_228,2.29621E+11,ABCDE3680F,2,91088,No,0,58631,Employed,64,,112528,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_194,5.15242E+11,ABCDE7324F,5,67032,Yes,1,147901,Employed,28,,53588,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_433,7.48654E+11,ABCDE4428F,0,78913,No,2,238270,Employed,42,Rent,397356,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
Person_32,1.80367E+11,ABCDE8532F,4,73140,No,1,166866,Unemployed,51,Rent,323402,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_499,5.42938E+11,ABCDE8338F,0,75090,Yes,2,168864,Unemployed,52,Rent,213060,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_967,3.02792E+11,ABCDE2086F,3,45618,No,0,87609,Self-Employed,41,,92523,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_248,3.81382E+11,ABCDE6784F,4,10720,Yes,2,201310,Self-Employed,70,,255979,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_628,7.25285E+11,ABCDE3877F,3,91636,No,0,115005,Employed,38,Rent,84228,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_11,5.61707E+11,ABCDE5239F,2,98285,No,2,110151,Unemployed,53,Rent,52798,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_973,2.87462E+11,ABCDE1393F,5,40050,Yes,0,135224,Self-Employed,19,Rent,44822,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_433,8.66865E+11,ABCDE1539F,1,17648,No,2,66033,Self-Employed,48,Rent,107019,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_964,6.52157E+11,ABCDE6901F,1,69476,Yes,2,54632,Employed,46,Rent,132504,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_425,3.45251E+11,ABCDE5931F,2,84906,No,2,81590,Self-Employed,22,Own,41060,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_686,2.63485E+11,ABCDE3629F,2,66093,No,1,263515,Unemployed,67,Rent,127947,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_176,5.80321E+11,ABCDE3784F,0,71443,No,1,102613,Employed,54,,60905,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_458,6.67376E+11,ABCDE8498F,0,13210,No,0,74118,Employed,41,Rent,146143,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_347,5.34698E+11,ABCDE4543F,1,19897,Yes,2,48941,Employed,47,Rent,135262,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_732,1.27143E+11,ABCDE4708F,4,58364,No,0,81849,Unemployed,67,,123428,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_388,2.50507E+11,ABCDE5773F,4,68753,No,1,50645,Unemployed,29,,137643,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_526,8.19377E+11,ABCDE6506F,4,80180,Yes,0,45456,Self-Employed,34,Own,83449,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_21,4.14051E+11,ABCDE1334F,4,68176,Yes,1,228895,Employed,37,,333307,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_345,8.5636E+11,ABCDE9513F,1,38397,Yes,0,189582,Self-Employed,69,Own,312201,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_350,4.82779E+11,ABCDE1002F,4,55672,Yes,0,150233,Self-Employed,32,,395618,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_974,8.61555E+11,ABCDE6139F,4,7501,Yes,2,260117,Self-Employed,55,,268280,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_440,5.01447E+11,ABCDE1553F,3,67807,No,2,88355,Self-Employed,33,Rent,78504,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_738,6.91186E+11,ABCDE7294F,0,38652,No,0,114973,Employed,61,Own,146927,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_870,3.7737E+11,ABCDE6064F,2,67000,Yes,1,269925,Employed,63,Rent,304281,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_608,2.93297E+11,ABCDE5866F,4,76550,No,1,137728,Unemployed,21,Own,104987,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_953,3.54803E+11,ABCDE7284F,0,50805,Yes,0,52892,Self-Employed,51,Rent,60379,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_776,5.6388E+11,ABCDE6050F,0,50844,No,2,250964,Unemployed,27,Rent,335006,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_920,8.49077E+11,ABCDE6465F,5,99017,No,1,243791,Employed,70,,142372,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_227,8.15951E+11,ABCDE7648F,0,65145,No,2,38311,Employed,66,,26468,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_483,3.64782E+11,ABCDE9769F,4,62739,Yes,2,55151,Self-Employed,44,Rent,117619,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_873,8.94482E+11,ABCDE2781F,3,90293,Yes,0,56742,Employed,49,Rent,88726,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_470,4.78688E+11,ABCDE5421F,0,77100,No,0,141895,Self-Employed,62,,37707,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_860,8.80063E+11,ABCDE1163F,3,25996,Yes,1,108892,Unemployed,22,Rent,145793,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_468,8.49799E+11,ABCDE2035F,0,15288,Yes,0,263899,Employed,23,,139754,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_644,3.95695E+11,ABCDE9856F,5,98622,Yes,0,142202,Unemployed,48,Own,62657,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_433,8.97996E+11,ABCDE2192F,5,54094,No,1,153664,Self-Employed,23,Rent,242537,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_330,7.49746E+11,ABCDE5828F,2,78103,Yes,2,195643,Employed,58,Rent,170914,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_550,5.18074E+11,ABCDE4819F,5,78584,No,2,113480,Unemployed,68,Rent,135397,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_108,5.10272E+11,ABCDE2772F,5,78231,Yes,1,38444,Self-Employed,24,Own,106130,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_564,8.7426E+11,ABCDE1985F,2,56715,No,2,241947,Employed,60,Own,104000,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_766,4.70301E+11,ABCDE9146F,3,29912,No,2,278057,Unemployed,70,,267103,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_256,5.98468E+11,ABCDE9016F,4,30153,Yes,0,242885,Unemployed,35,,341805,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_231,9.94905E+11,ABCDE6091F,2,18160,Yes,2,192008,Self-Employed,48,Own,397927,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_54,8.66724E+11,ABCDE5866F,4,59016,No,0,170268,Employed,51,,394694,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_808,4.73546E+11,ABCDE9641F,0,20380,No,1,170350,Unemployed,70,Own,316273,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_275,1.3723E+11,ABCDE2377F,5,71667,No,1,82954,Unemployed,47,Own,64810,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_648,6.40979E+11,ABCDE7277F,3,49295,No,1,188549,Self-Employed,21,,233820,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_691,9.04866E+11,ABCDE1229F,0,98635,No,0,29256,Self-Employed,34,Own,67677,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_8,7.56132E+11,ABCDE9804F,4,49409,Yes,2,292082,Employed,28,Rent,188687,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_930,3.65036E+11,ABCDE3325F,3,86722,Yes,2,175930,Unemployed,18,Rent,372806,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_292,5.61219E+11,ABCDE1155F,0,49864,No,2,223767,Unemployed,47,Rent,169751,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_84,1.65585E+11,ABCDE3163F,4,43397,No,0,231698,Self-Employed,60,Own,187862,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_189,1.30603E+11,ABCDE7907F,2,65065,No,0,182961,Self-Employed,45,Rent,115008,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_7,1.60673E+11,ABCDE2962F,0,34813,No,2,188786,Employed,30,,262069,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_255,2.64042E+11,ABCDE7730F,4,97806,No,2,36823,Employed,73,Own,96266,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_539,5.5248E+11,ABCDE2423F,4,38784,No,2,61972,Self-Employed,22,Rent,43019,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_332,7.37629E+11,ABCDE6510F,2,15115,No,1,159017,Self-Employed,61,Rent,198626,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_530,3.06796E+11,ABCDE8151F,1,18121,Yes,2,225961,Self-Employed,53,,287803,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_368,6.80248E+11,ABCDE9629F,3,30482,No,2,179939,Employed,30,Own,322635,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_952,2.52212E+11,ABCDE1221F,2,13338,Yes,1,147315,Unemployed,42,Rent,77475,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_505,4.66166E+11,ABCDE8245F,0,10504,Yes,0,91393,Employed,46,Rent,38590,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_467,4.35103E+11,ABCDE2134F,3,52693,No,1,136833,Unemployed,74,,75596,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_728,5.9003E+11,ABCDE5296F,2,58279,No,0,106793,Unemployed,31,,40490,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_713,9.49082E+11,ABCDE1875F,1,79705,No,1,80486,Unemployed,26,,49742,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_575,9.81058E+11,ABCDE9554F,2,58909,No,0,110017,Unemployed,68,Rent,50073,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_897,2.41333E+11,ABCDE1792F,3,20832,Yes,0,29726,Unemployed,54,Rent,22977,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_958,5.77263E+11,ABCDE7479F,1,78014,Yes,1,54844,Self-Employed,64,Own,125832,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_662,9.67739E+11,ABCDE1619F,0,40555,Yes,2,68404,Self-Employed,19,,147548,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_331,4.72473E+11,ABCDE5443F,0,35968,No,1,290088,Unemployed,62,Rent,129774,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_754,9.78467E+11,ABCDE4196F,4,39894,No,2,105366,Unemployed,48,Rent,119340,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_312,1.87518E+11,ABCDE6892F,3,23358,Yes,1,44570,Unemployed,64,Rent,62624,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_329,4.14782E+11,ABCDE4674F,2,14252,No,0,251940,Unemployed,69,Rent,338923,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_516,2.77053E+11,ABCDE3886F,5,24973,Yes,1,147422,Unemployed,35,,101871,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_2,7.30448E+11,ABCDE1240F,0,72964,No,1,124554,Self-Employed,75,Rent,135843,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_601,6.83156E+11,ABCDE9341F,4,81536,No,0,160004,Unemployed,58,Rent,168772,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_547,8.70012E+11,ABCDE1470F,5,77516,No,0,49236,Employed,26,,39581,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_426,1.79613E+11,ABCDE1280F,3,94756,No,0,198319,Employed,68,Rent,240960,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_572,3.30059E+11,ABCDE5777F,1,11124,Yes,0,192062,Employed,55,Own,282799,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_304,7.33825E+11,ABCDE5839F,3,95430,No,2,152471,Self-Employed,48,,165022,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_990,7.41481E+11,ABCDE2899F,2,92900,No,2,77399,Self-Employed,73,,75571,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_558,1.74894E+11,ABCDE1046F,2,38299,No,2,56610,Employed,26,Own,96763,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_595,7.85701E+11,ABCDE6487F,0,28677,No,1,38698,Self-Employed,44,Own,145004,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_553,1.78086E+11,ABCDE1612F,1,22084,No,1,292986,Unemployed,30,Rent,334496,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_604,9.80699E+11,ABCDE9119F,0,17593,No,1,285016,Unemployed,29,Rent,258505,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_15,9.39871E+11,ABCDE4786F,5,73596,No,0,246234,Unemployed,35,,391337,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_591,9.7888E+11,ABCDE2035F,0,76083,No,2,46308,Unemployed,34,Rent,125694,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_184,8.69846E+11,ABCDE2141F,5,70474,Yes,0,245808,Self-Employed,72,Rent,215925,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_954,7.90223E+11,ABCDE3906F,1,99434,No,1,293251,Self-Employed,56,Own,207537,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_425,2.04457E+11,ABCDE5251F,5,22504,No,1,106769,Employed,27,Rent,39004,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_771,8.08268E+11,ABCDE7849F,3,84514,No,2,46987,Self-Employed,31,Own,66914,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_12,6.49971E+11,ABCDE7756F,1,66629,No,2,68793,Unemployed,57,Rent,113500,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_380,3.67433E+11,ABCDE5334F,1,19237,No,2,213947,Employed,57,Rent,333334,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_524,7.60999E+11,ABCDE1673F,0,71943,No,2,37005,Unemployed,39,,54047,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_346,5.41079E+11,ABCDE2676F,2,88665,Yes,1,135201,Employed,44,,86180,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_623,1.55513E+11,ABCDE5844F,5,10594,No,2,288962,Self-Employed,43,Own,283301,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_989,6.92804E+11,ABCDE2705F,2,65715,No,1,148202,Unemployed,44,,65666,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_537,7.41951E+11,ABCDE3999F,3,55966,No,1,42029,Unemployed,37,Rent,59766,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_237,9.4989E+11,ABCDE5772F,1,66710,Yes,0,87967,Self-Employed,24,Own,82754,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_477,1.95079E+11,ABCDE5678F,3,73069,No,0,271935,Employed,32,Own,359560,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_78,1.09456E+11,ABCDE8321F,5,94739,No,1,25153,Employed,59,Own,75717,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_773,9.11329E+11,ABCDE1532F,3,62911,No,2,276640,Employed,35,,246933,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_503,5.38631E+11,ABCDE4493F,4,98432,No,0,88003,Self-Employed,66,,147965,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_33,4.66322E+11,ABCDE7047F,5,89655,No,0,128152,Unemployed,47,Rent,25855,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_868,9.85154E+11,ABCDE4880F,5,55658,Yes,2,278389,Unemployed,50,,298802,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_65,5.83784E+11,ABCDE7168F,1,47484,No,2,284033,Employed,66,Own,205317,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_626,4.07921E+11,ABCDE8588F,1,35463,Yes,0,74979,Employed,60,,112025,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_22,2.19658E+11,ABCDE8381F,2,37200,No,0,186097,Employed,22,Own,163899,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_965,6.63135E+11,ABCDE6293F,5,52603,Yes,1,210153,Unemployed,56,Rent,320790,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_652,1.86208E+11,ABCDE9658F,1,33606,No,1,172299,Self-Employed,66,Rent,215138,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_185,4.18415E+11,ABCDE8234F,0,47572,No,1,282176,Self-Employed,72,,111573,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_985,9.0484E+11,ABCDE2122F,2,94116,No,2,129246,Unemployed,34,,41813,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
