Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,ELIGIBILITY CRITERIA
Person_510,2723443739,ABCDE5554F,1,74229,No,2,160575,Unemployed,59,,53032,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_331,2306810174,ABCDE5351F,4,60999,Yes,2,816032,Self-Employed,44,Rent,330322,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_805,8331195356,ABCDE2991F,0,91374,Yes,1,351773,Self-Employed,54,Rent,181066,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_172,2170241422,ABCDE4218F,0,54501,No,1,297461,Unemployed,24,Rent,76214,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_282,8195659620,ABCDE3051F,2,75152,Yes,0,76164,Unemployed,36,Rent,188126,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_689,9820278401,ABCDE1577F,3,96175,Yes,2,864707,Employed,18,Own,392325,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_368,8080447701,ABCDE2371F,0,10613,No,0,315880,Self-Employed,64,Own,12619,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_553,6418290937,ABCDE7097F,4,8628,Yes,2,320180,Unemployed,54,Own,119232,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_270,1377946476,ABCDE2309F,4,73779,No,1,198271,Employed,59,Rent,26487,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_507,6926258664,ABCDE7665F,5,48891,No,0,247447,Self-Employed,24,,209032,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_565,3322326122,ABCDE4569F,3,96925,No,1,979257,Unemployed,52,Rent,222737,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_548,3111147575,ABCDE3825F,3,66481,Yes,2,999971,Self-Employed,21,Rent,445099,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_638,3727721020,ABCDE4587F,5,53031,Yes,1,721381,Unemployed,57,Rent,191603,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_260,6533705137,ABCDE3632F,0,57436,No,2,247195,Self-Employed,75,,233092,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_68,7752195386,ABCDE3178F,3,66068,No,0,909328,Unemployed,31,Rent,357899,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_289,4942127617,ABCDE7980F,5,85544,No,0,885690,Unemployed,48,Rent,175662,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_843,5195687148,ABCDE5595F,0,77751,Yes,0,631279,Self-Employed,48,Own,228560,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_25,8437610703,ABCDE9155F,3,25593,No,2,655908,Self-Employed,64,,234812,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_366,3002706780,ABCDE4590F,0,51130,Yes,1,474000,Unemployed,45,,146636,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_468,6524725939,ABCDE8698F,4,48350,Yes,0,602243,Employed,31,Rent,476836,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_426,9653115816,ABCDE6492F,1,27033,No,1,147853,Self-Employed,64,,490129,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_611,2095095700,ABCDE9066F,1,78377,Yes,0,126655,Employed,58,Rent,267283,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_32,3892598727,ABCDE5836F,0,87788,Yes,0,883692,Self-Employed,57,Rent,103556,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_106,6919413763,ABCDE1795F,4,97527,No,1,595861,Unemployed,18,Rent,342099,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_883,6130890602,ABCDE4224F,0,77523,No,0,453340,Unemployed,57,,119165,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_561,8852597041,ABCDE9256F,0,53090,Yes,2,91585,Unemployed,28,,440965,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_35,5330452922,ABCDE7678F,5,71527,Yes,1,134469,Employed,71,Own,332731,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_821,4058665791,ABCDE7562F,0,13133,Yes,2,187326,Unemployed,25,,384383,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_159,4417866055,ABCDE6778F,2,75196,No,1,908332,Self-Employed,31,Own,373329,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_914,6333746110,ABCDE7924F,5,63426,No,1,446279,Employed,58,,279605,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_302,3206197038,ABCDE9551F,1,30685,Yes,2,124596,Employed,65,,141187,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_513,8918132858,ABCDE1125F,4,41545,Yes,0,162155,Employed,32,,489790,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_653,7841156049,ABCDE3774F,3,35843,No,1,399512,Employed,46,Rent,230208,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_207,2795042342,ABCDE7740F,3,82819,Yes,2,170238,Employed,38,Own,330457,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_703,2471710090,ABCDE1975F,2,27780,Yes,1,596609,Employed,19,Rent,455769,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_802,7715502939,ABCDE9412F,3,30345,No,1,809183,Unemployed,52,Own,378943,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_584,2987186296,ABCDE7558F,1,51238,Yes,1,559510,Unemployed,32,,236802,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_244,8164420183,ABCDE8143F,4,37248,Yes,1,425395,Unemployed,51,Own,103751,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_265,2650762251,ABCDE9982F,0,19163,No,2,220383,Employed,46,Own,23391,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_797,2919438828,ABCDE6727F,1,11267,No,0,629373,Employed,29,,188386,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_468,3016512227,ABCDE7179F,1,88384,No,0,164118,Employed,25,,97190,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_233,2548450964,ABCDE8751F,4,82999,Yes,0,745351,Employed,60,Rent,305084,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_319,6219523647,ABCDE5569F,4,65084,Yes,2,443641,Self-Employed,29,Rent,148081,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_773,3188478751,ABCDE5033F,5,62882,No,2,951935,Self-Employed,20,Own,271519,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_476,4875222476,ABCDE5136F,4,80183,Yes,1,633063,Self-Employed,27,Rent,42264,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_399,6614501065,ABCDE7349F,0,72136,Yes,2,700522,Self-Employed,49,,318084,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_328,7139619670,ABCDE4574F,5,22981,Yes,1,895213,Employed,39,Rent,336775,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_372,6527596800,ABCDE1315F,3,85873,No,1,107566,Employed,40,Own,426458,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_83,9485714029,ABCDE5279F,2,69083,No,2,844055,Unemployed,58,Rent,427707,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_769,5304195560,ABCDE4749F,5,10495,Yes,0,606915,Self-Employed,38,,428238,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_897,9561226804,ABCDE9078F,4,45708,Yes,1,557828,Employed,69,Rent,225169,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_253,3340115868,ABCDE9265F,1,53923,Yes,1,263424,Employed,57,,366208,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_680,2698501574,ABCDE7818F,2,52314,Yes,0,930768,Employed,44,Rent,356933,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_590,4119205666,ABCDE3404F,1,26122,No,0,705806,Unemployed,48,Own,361264,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_620,4146131866,ABCDE4152F,3,30638,Yes,0,227974,Self-Employed,34,Own,22804,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_995,5159345530,ABCDE6159F,3,55119,Yes,2,767485,Unemployed,61,Rent,84849,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_957,3651013787,ABCDE1877F,2,59534,No,2,309804,Employed,19,,31887,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_450,3627706908,ABCDE2573F,1,13626,Yes,0,491461,Employed,19,,206766,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_112,1415889278,ABCDE8051F,5,30162,No,1,348983,Self-Employed,22,Rent,285540,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_819,4605127780,ABCDE4481F,4,46973,No,0,680267,Unemployed,39,Rent,11361,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_365,8361597400,ABCDE5351F,4,81286,No,0,339979,Employed,47,Rent,43278,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_62,9355381874,ABCDE6290F,5,74613,Yes,0,457803,Unemployed,66,,420166,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_778,7544958630,ABCDE2964F,3,62184,Yes,2,680367,Unemployed,48,Own,276236,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_379,7611417669,ABCDE3771F,2,69662,No,1,518831,Self-Employed,50,Rent,450540,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_616,8860809805,ABCDE4966F,1,66408,Yes,0,221733,Self-Employed,65,Own,441588,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_833,5700903621,ABCDE2610F,4,83229,Yes,0,599269,Unemployed,64,Own,242974,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_776,8302101670,ABCDE6651F,5,70484,No,2,323933,Self-Employed,19,,2358,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_639,1536394254,ABCDE9802F,2,32051,Yes,2,520814,Employed,65,Rent,115180,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_734,5678164455,ABCDE1715F,0,38384,No,2,286178,Self-Employed,66,Rent,50491,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_455,4560981432,ABCDE3851F,2,45136,Yes,2,143156,Employed,60,Own,179023,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_817,5366950122,ABCDE8209F,2,5882,No,1,444984,Self-Employed,64,Rent,349708,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_54,5203040544,ABCDE3410F,3,42320,No,0,574176,Self-Employed,56,,450259,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_431,6036496736,ABCDE3376F,0,17067,Yes,2,587942,Self-Employed,70,,183781,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_344,8777495437,ABCDE6863F,1,8753,No,1,336035,Unemployed,53,Own,132429,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_240,3067633110,ABCDE1037F,3,90199,No,1,221154,Self-Employed,75,Own,273203,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_948,2974834118,ABCDE3907F,4,73275,No,0,642752,Unemployed,59,Rent,495040,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_790,1801579520,ABCDE3954F,2,6691,Yes,1,817227,Employed,30,Rent,239530,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_87,5566791855,ABCDE9107F,3,40576,Yes,0,470452,Employed,37,Own,482631,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_810,5520638136,ABCDE3498F,5,96203,Yes,0,293480,Self-Employed,72,,404671,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_149,6636998335,ABCDE3618F,4,73433,Yes,1,489557,Unemployed,60,Own,280408,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_476,8909699720,ABCDE2279F,2,28542,Yes,0,469808,Unemployed,24,Rent,224369,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_271,1951406311,ABCDE6257F,5,6768,No,2,780287,Employed,21,,3917,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_808,3156229691,ABCDE5035F,2,62534,No,1,940716,Unemployed,61,Rent,150443,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_276,1953327262,ABCDE4417F,1,8180,Yes,2,744218,Employed,30,Rent,1520,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_653,8551201262,ABCDE4729F,2,6342,No,1,996810,Self-Employed,71,Own,153379,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_821,6398116451,ABCDE8564F,1,23561,Yes,2,218555,Unemployed,24,,349931,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_14,4184848351,ABCDE7689F,0,94641,No,1,570141,Self-Employed,53,Own,115818,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_81,6095506681,ABCDE3870F,1,49089,No,0,664465,Unemployed,22,Rent,196199,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_667,7692668093,ABCDE5724F,3,45824,Yes,2,988391,Self-Employed,55,Own,199744,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_207,7640450861,ABCDE9322F,3,12827,Yes,2,778025,Employed,58,Own,4109,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_171,4734142700,ABCDE8811F,1,33226,Yes,2,969327,Employed,55,Rent,280103,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_970,1990900685,ABCDE9824F,2,39421,Yes,2,174841,Employed,19,Own,307096,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_674,5762139988,ABCDE7471F,1,73273,Yes,2,635168,Self-Employed,25,,240315,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_606,6739489167,ABCDE2922F,3,95238,No,1,456005,Unemployed,26,Own,39676,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_882,9778010522,ABCDE2085F,2,34889,No,0,918156,Self-Employed,58,Rent,17933,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_187,8007636576,ABCDE8813F,0,25371,No,0,260644,Self-Employed,54,Own,239096,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_482,6535421720,ABCDE3491F,2,7970,No,1,803531,Unemployed,21,Own,367308,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_199,8947235940,ABCDE8483F,4,98836,Yes,1,501150,Self-Employed,24,,441244,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_851,7355805159,ABCDE7882F,1,51017,Yes,1,885820,Unemployed,65,,371356,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_138,6019750120,ABCDE7787F,5,34299,Yes,1,461124,Employed,60,,308130,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_461,3062689840,ABCDE4980F,5,15338,No,1,758845,Unemployed,38,Rent,446954,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_789,7281878876,ABCDE2471F,2,24430,Yes,0,265161,Employed,20,Rent,234692,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_753,8910093727,ABCDE4617F,0,14755,Yes,1,797518,Employed,35,Own,17404,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_626,1332389499,ABCDE7847F,5,58103,Yes,2,108673,Self-Employed,75,,134212,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_127,2602196852,ABCDE1569F,0,67338,Yes,0,159614,Unemployed,25,Own,106305,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_963,1327094720,ABCDE6710F,5,70426,No,0,922177,Employed,75,,286685,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_691,5854253740,ABCDE9931F,3,16915,No,0,463556,Self-Employed,58,Own,185936,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_107,2057027172,ABCDE5494F,4,69629,Yes,0,159189,Employed,42,Rent,334471,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_962,5078619538,ABCDE6766F,0,15684,No,2,190521,Employed,39,Own,360627,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_232,6431155157,ABCDE1403F,5,72072,Yes,2,315003,Employed,43,,128458,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_25,7023061249,ABCDE3777F,1,99779,Yes,1,921109,Unemployed,49,Rent,27968,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_948,1904163252,ABCDE3528F,0,56134,Yes,1,926749,Employed,66,,372952,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_71,5095823218,ABCDE2420F,2,12444,Yes,1,958441,Employed,36,Rent,342305,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_821,6876096513,ABCDE7280F,2,45285,Yes,0,320228,Self-Employed,49,Rent,452080,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_498,7828315995,ABCDE8425F,3,81785,Yes,0,384128,Self-Employed,43,Own,292781,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_789,1896418307,ABCDE7995F,4,68482,Yes,0,209324,Unemployed,52,,118864,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_355,3904430116,ABCDE2394F,5,41655,Yes,2,342669,Employed,22,,190749,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_269,3751227984,ABCDE3696F,1,99878,Yes,1,140193,Self-Employed,58,Rent,348294,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_685,8997019968,ABCDE5092F,0,77557,Yes,0,822290,Self-Employed,35,Own,498443,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_43,3169979046,ABCDE5252F,1,70665,Yes,0,395928,Self-Employed,21,,452635,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_463,3756205555,ABCDE2415F,2,34974,Yes,1,840787,Self-Employed,44,Own,391299,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_299,6067335899,ABCDE9151F,4,38211,Yes,0,231257,Self-Employed,18,Rent,430964,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_764,2365754217,ABCDE8582F,1,94584,Yes,0,230667,Employed,40,,138482,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_636,7734867159,ABCDE5819F,3,72924,No,2,851455,Unemployed,49,Rent,371380,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_39,9673171909,ABCDE1478F,0,87808,No,0,824590,Self-Employed,47,,65907,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_583,2973089615,ABCDE6644F,3,10562,No,0,654073,Employed,28,Rent,469813,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_235,9157671890,ABCDE9418F,1,49541,Yes,2,50700,Employed,54,,235062,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_617,4265917694,ABCDE1029F,5,83408,No,0,62400,Self-Employed,59,Own,242659,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_144,5683014896,ABCDE7107F,4,69747,Yes,1,734406,Unemployed,21,,249502,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_917,2229282193,ABCDE8921F,0,42720,Yes,0,417198,Employed,22,Own,395934,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_577,5925634377,ABCDE4835F,3,76771,No,1,552639,Employed,75,Own,162490,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_212,2806385277,ABCDE8302F,3,68497,Yes,1,581858,Self-Employed,69,Own,489623,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_74,4214811308,ABCDE2847F,2,62698,No,2,56544,Self-Employed,41,Rent,316906,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_705,2737455054,ABCDE6906F,2,60925,Yes,2,990982,Employed,63,,198724,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_167,4266769501,ABCDE7793F,5,29814,No,0,622538,Self-Employed,50,,400756,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_902,4700505755,ABCDE8858F,4,29412,No,0,792313,Unemployed,61,Own,407634,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_529,6028853294,ABCDE6372F,5,16830,No,2,87008,Employed,24,,142385,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_679,2956969676,ABCDE3846F,2,84634,Yes,0,266668,Unemployed,57,Own,239655,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_943,2111382870,ABCDE8703F,4,63235,No,0,159571,Employed,72,Own,368745,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_912,7534862563,ABCDE5711F,1,74618,No,1,796981,Employed,61,,105093,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_328,7343909953,ABCDE4334F,2,30885,No,0,160045,Employed,54,,177163,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_910,1283074520,ABCDE8158F,4,16734,Yes,0,545455,Employed,65,Own,409566,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_428,8054155209,ABCDE7138F,0,5146,No,0,834256,Self-Employed,69,Rent,414258,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_476,8846194240,ABCDE9928F,2,61337,Yes,1,966083,Employed,62,,417538,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_806,2551778654,ABCDE1288F,5,55625,No,1,470785,Employed,71,,22817,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_393,7807532448,ABCDE1351F,3,63587,Yes,1,874042,Employed,59,Rent,294054,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_617,3248930548,ABCDE4177F,4,12938,No,2,555557,Employed,37,Rent,440943,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_372,7155557829,ABCDE5696F,4,76398,No,0,220248,Self-Employed,59,Own,359220,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_445,9249091500,ABCDE6043F,2,54501,Yes,1,374910,Self-Employed,54,,496671,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_7,1239402754,ABCDE5307F,1,43615,No,0,378420,Self-Employed,29,Rent,72607,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_755,4114765244,ABCDE7685F,2,33419,No,2,228019,Self-Employed,26,Rent,471033,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_791,7679594585,ABCDE5474F,0,71323,No,0,571174,Unemployed,44,Rent,144747,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_332,3643288801,ABCDE7622F,2,57427,Yes,2,750774,Self-Employed,69,Own,95831,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_821,7891896179,ABCDE5134F,2,36570,Yes,0,188391,Employed,73,,410168,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_144,2851398460,ABCDE9574F,4,37424,Yes,2,402037,Self-Employed,63,,119577,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_10,9290262202,ABCDE6544F,4,20571,Yes,0,579217,Employed,19,,160792,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_968,2978766570,ABCDE3973F,0,99954,No,1,966643,Unemployed,39,Rent,190294,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_374,6047769136,ABCDE1236F,0,19826,No,1,906374,Self-Employed,38,Own,251877,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_93,2011361634,ABCDE1021F,5,6754,No,1,415458,Unemployed,32,Own,31398,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_833,8523731748,ABCDE6874F,4,46772,Yes,2,70944,Unemployed,69,Own,237519,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_78,3092989107,ABCDE1715F,5,10529,Yes,1,603486,Employed,61,Own,404015,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_182,2548891546,ABCDE9843F,2,48747,No,0,707215,Self-Employed,50,,92992,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_648,4065787004,ABCDE2969F,4,56845,No,2,513785,Employed,28,Rent,82187,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_26,6554644821,ABCDE2503F,4,17400,No,0,151511,Employed,54,Own,140876,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_685,5247033675,ABCDE2888F,2,52620,No,0,997145,Employed,64,Own,339832,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_52,3971820594,ABCDE1724F,1,78044,Yes,1,641939,Employed,28,,317446,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_173,4874891234,ABCDE9406F,5,61773,No,0,728229,Unemployed,56,,499716,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_467,5411568150,ABCDE9746F,4,75059,Yes,2,120121,Unemployed,75,,390933,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_843,3378900742,ABCDE3095F,2,11727,Yes,1,995654,Self-Employed,70,,7688,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_801,8294035288,ABCDE4561F,5,76223,No,1,958659,Employed,74,Own,95684,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_998,4652837125,ABCDE6698F,0,34029,No,1,814191,Employed,25,,163983,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_247,6525292836,ABCDE8324F,5,65636,No,1,377566,Self-Employed,73,Own,400020,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_11,4124673948,ABCDE9032F,5,67034,Yes,1,189840,Employed,23,Rent,221220,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_364,7642409289,ABCDE3809F,5,31730,Yes,2,835780,Self-Employed,72,Own,146499,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_5,4970328987,ABCDE7230F,1,71151,Yes,0,545394,Unemployed,58,,314340,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_526,6748251149,ABCDE2287F,3,54375,No,1,898198,Employed,26,Own,60733,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_337,9681449701,ABCDE3537F,1,34100,Yes,2,196125,Unemployed,74,,286784,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_132,4205732601,ABCDE5852F,1,36950,Yes,1,355327,Employed,60,Own,237116,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
