Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
4658278058,ABCDE9077F,0,17653,No,2,167447,Unemployed,32,No Property,167868,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
7660001357,ABCDE9306F,5,83032,No,2,126560,Employed,57,Rent,67845,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
8385918785,ABCDE6483F,1,78683,No,2,59482,Self-Employed,52,Own,47855,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
3471041863,ABCDE4643F,2,17100,Yes,0,250929,Self-Employed,18,Own,205869,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
6743387439,ABCDE5413F,3,27701,Yes,2,293082,Self-Employed,45,Rent,285456,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
7387368802,ABCDE7861F,2,98061,Yes,1,222155,Employed,61,No Property,318406,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
1271030510,ABCDE2575F,0,32656,Yes,2,256466,Self-Employed,19,No Property,313846,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
1995721730,ABCDE6414F,3,32408,No,2,206362,Employed,33,Rent,338549,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
9114050363,ABCDE8133F,4,84666,No,1,199400,Employed,21,Rent,329023,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
5295222894,ABCDE9890F,0,99604,No,2,84686,Employed,18,Own,66604,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
3572889791,ABCDE3856F,3,31008,No,2,45761,Employed,48,No Property,133555,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
1330101510,ABCDE8343F,5,50778,No,0,152656,Employed,67,Own,152386,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
7178706854,ABCDE4259F,5,33065,No,1,238184,Employed,39,Rent,333104,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
6401646992,ABCDE7333F,5,78181,No,2,206013,Employed,48,No Property,343338,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
2405594009,ABCDE2582F,1,92007,No,1,250991,Unemployed,28,Rent,206926,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5422150378,ABCDE4617F,4,8333,Yes,0,33760,Employed,48,No Property,149652,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
5107437597,ABCDE7395F,2,70160,No,2,49355,Employed,70,Own,105857,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
6076849541,ABCDE8999F,1,69821,Yes,0,63618,Self-Employed,44,Own,103891,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
5804244376,ABCDE4406F,0,34124,Yes,1,128565,Employed,38,Rent,145477,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
7429986873,ABCDE4048F,0,14393,Yes,1,185747,Unemployed,48,No Property,249688,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
8667855682,ABCDE9005F,5,45531,No,2,235451,Employed,64,Own,253554,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
7798614345,ABCDE8254F,1,99344,Yes,2,30803,Employed,66,Own,89291,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
5018429980,ABCDE4102F,0,29150,Yes,0,253834,Employed,62,Rent,248029,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
5537953392,ABCDE7740F,2,93259,Yes,1,34957,Employed,31,No Property,129570,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
6591084193,ABCDE3647F,5,62217,Yes,2,211363,Self-Employed,73,No Property,379860,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
9773153651,ABCDE7451F,2,46742,No,0,200495,Employed,62,No Property,340089,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
6703849299,ABCDE2064F,5,43863,Yes,0,176431,Employed,68,No Property,372595,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7363666071,ABCDE1647F,5,52294,Yes,1,155810,Self-Employed,35,Rent,194156,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5003133855,ABCDE9057F,3,94319,No,2,223046,Employed,59,No Property,165544,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
8638540215,ABCDE9449F,1,16107,No,1,240347,Employed,69,Own,202856,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
1742852116,ABCDE2163F,4,73063,No,1,149694,Self-Employed,63,Rent,142727,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
6278524979,ABCDE4188F,5,38659,Yes,2,271943,Employed,31,No Property,100997,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
8443734808,ABCDE7228F,0,27771,Yes,2,293759,Unemployed,34,No Property,329712,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
2047052905,ABCDE8687F,1,30234,No,2,28875,Employed,18,Own,71622,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
5765342287,ABCDE8976F,1,95900,No,0,227743,Self-Employed,71,Rent,347824,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
9497579026,ABCDE7727F,0,42141,Yes,0,224946,Employed,34,No Property,175352,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
3148859404,ABCDE6198F,2,22100,Yes,2,82066,Self-Employed,57,Rent,35670,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
5709709152,ABCDE6379F,2,37354,No,2,94174,Employed,43,No Property,62614,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
1544666662,ABCDE3732F,1,59294,Yes,2,63211,Employed,58,Rent,129092,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
7832049007,ABCDE8331F,2,84033,No,1,118774,Employed,52,Own,124882,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
8759482218,ABCDE3131F,1,41293,Yes,1,202635,Employed,47,Own,114983,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
1243895426,ABCDE3707F,0,39109,Yes,0,236696,Self-Employed,40,Rent,164173,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
3774415097,ABCDE7169F,3,55390,Yes,2,221024,Employed,63,Own,279991,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
2691423160,ABCDE4113F,0,63429,Yes,0,137156,Self-Employed,65,Own,101637,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
6394922451,ABCDE3204F,4,14178,Yes,1,111543,Unemployed,64,Own,80465,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
3415980652,ABCDE1184F,1,48817,Yes,2,164430,Self-Employed,62,No Property,108518,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
5699665318,ABCDE8612F,0,60981,No,0,277864,Employed,48,No Property,287895,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
4741760497,ABCDE9328F,3,16806,No,2,74533,Employed,57,Own,116871,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
7624508318,ABCDE2679F,0,98007,No,0,89095,Employed,21,Own,125355,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
6202452935,ABCDE7961F,2,84003,No,0,76511,Employed,63,Rent,60490,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
7896455079,ABCDE5169F,2,13933,No,1,286023,Self-Employed,65,Rent,128355,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
3289088025,ABCDE6874F,1,8705,No,0,60538,Self-Employed,49,Rent,62035,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
7581483521,ABCDE5766F,3,58380,Yes,2,173956,Employed,53,Own,224618,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
6747314267,ABCDE6882F,4,73451,No,1,122028,Employed,58,Rent,47152,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
2338399922,ABCDE4970F,5,30941,Yes,2,134418,Employed,69,Own,37227,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
5977178490,ABCDE6432F,5,87552,No,0,33649,Unemployed,60,Own,97621,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
7647648435,ABCDE7216F,2,69802,No,2,31790,Employed,23,No Property,110646,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
9742000715,ABCDE2089F,0,64477,No,2,285065,Employed,64,Rent,221837,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
7292794141,ABCDE6815F,1,40431,No,1,62798,Employed,66,No Property,146579,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
9713020515,ABCDE4411F,2,77792,Yes,1,29376,Unemployed,48,No Property,118305,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
8582850383,ABCDE5030F,4,93659,No,1,265143,Employed,71,Own,193492,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
5837203181,ABCDE6279F,1,14436,No,1,45661,Employed,49,Rent,66640,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
3689363541,ABCDE3893F,2,47372,Yes,2,92019,Unemployed,71,No Property,132804,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
7865314623,ABCDE6352F,1,74025,Yes,2,94251,Self-Employed,25,Rent,90872,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
8997078854,ABCDE5052F,5,48559,Yes,2,36456,Self-Employed,46,Rent,136899,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
6294882584,ABCDE3695F,2,78049,No,0,57158,Employed,37,Rent,21171,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7337139360,ABCDE1254F,0,59397,No,2,90099,Self-Employed,57,No Property,47200,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
6920004915,ABCDE1968F,0,23286,No,2,77571,Employed,39,Own,122430,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
8894282573,ABCDE1519F,5,91166,Yes,1,196022,Employed,46,No Property,390302,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
7402972427,ABCDE3523F,1,96360,No,1,193445,Employed,61,Rent,204008,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
8457702528,ABCDE8451F,2,47546,No,1,182892,Employed,60,No Property,315191,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
5324049246,ABCDE7784F,5,33657,No,2,120858,Employed,19,No Property,36788,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
6125885577,ABCDE8471F,5,12204,Yes,2,152490,Employed,48,No Property,206758,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
2272390602,ABCDE6347F,1,29370,Yes,1,48664,Employed,31,No Property,63421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
3424040155,ABCDE1121F,2,25155,No,0,276288,Employed,47,Rent,295705,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
3431184087,ABCDE3338F,4,61376,Yes,1,261334,Employed,21,No Property,390361,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9616717222,ABCDE2842F,0,90275,Yes,2,204325,Self-Employed,64,Rent,222817,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
3911126846,ABCDE4886F,1,32840,Yes,0,196194,Self-Employed,18,Rent,109417,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
3109715045,ABCDE3381F,4,62028,No,1,166138,Employed,54,No Property,267737,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5400953600,ABCDE1195F,0,35114,Yes,1,135118,Employed,44,No Property,125880,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
3929605543,ABCDE8798F,5,30046,Yes,0,246594,Employed,43,No Property,316186,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
6478746122,ABCDE9743F,5,64982,No,2,41009,Employed,74,No Property,26813,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
8602649907,ABCDE3403F,3,56610,No,2,278205,Unemployed,22,No Property,293765,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
6053508982,ABCDE5725F,1,85175,Yes,0,175542,Unemployed,41,Own,346912,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
8480944533,ABCDE4980F,0,33629,Yes,0,197989,Employed,73,Own,108967,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
2374890147,ABCDE5700F,2,53858,No,1,112652,Employed,32,Own,149122,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
9721018881,ABCDE5887F,0,75110,No,0,133916,Self-Employed,55,Own,58957,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
6140317711,ABCDE2683F,3,78369,Yes,2,169419,Self-Employed,33,Rent,364780,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
5223375170,ABCDE2966F,3,59677,No,1,276916,Unemployed,40,No Property,270026,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9170218059,ABCDE4785F,5,72677,No,2,134789,Self-Employed,27,Rent,63134,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
3707431335,ABCDE1516F,2,8751,Yes,1,220091,Unemployed,61,Rent,347819,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
8457569082,ABCDE3272F,0,50023,Yes,1,243257,Employed,66,Own,161311,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
5689124828,ABCDE7552F,5,43927,Yes,0,135880,Employed,52,No Property,121937,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
2574939412,ABCDE6237F,5,66618,Yes,2,43842,Employed,23,Own,108760,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
7268284747,ABCDE6715F,0,74972,No,2,275206,Employed,52,Own,229208,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
6374740260,ABCDE6180F,2,81927,No,2,225171,Employed,27,Own,191796,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9032402864,ABCDE4473F,5,50151,Yes,2,165740,Employed,34,No Property,208886,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
7598031419,ABCDE8198F,1,13407,Yes,2,131554,Self-Employed,37,No Property,39983,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
6285293059,ABCDE8221F,3,43265,Yes,2,282463,Employed,61,Rent,256753,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
4543108586,ABCDE6076F,4,20507,Yes,2,263915,Self-Employed,44,Own,254808,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
5489298471,ABCDE1771F,5,83922,No,0,201829,Employed,33,Rent,265374,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
8738985985,ABCDE9109F,1,42973,No,0,154074,Employed,18,Own,379949,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
3420052264,ABCDE4667F,4,79606,No,1,68156,Employed,63,Own,50782,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
5928596872,ABCDE7544F,0,28188,Yes,0,271326,Employed,40,No Property,143081,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
9079206071,ABCDE9339F,5,34273,No,1,192137,Self-Employed,34,Own,314656,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
8428458938,ABCDE1230F,0,84787,No,1,160719,Unemployed,52,Rent,366759,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
7419433951,ABCDE6639F,0,44637,Yes,0,153145,Employed,72,No Property,274030,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
4068341616,ABCDE9884F,4,7455,Yes,0,180872,Unemployed,61,No Property,151746,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
6751960011,ABCDE1345F,5,93373,No,0,38582,Employed,32,Rent,135455,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
8814896828,ABCDE4305F,3,20285,No,0,63550,Employed,49,Rent,148950,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
9604184705,ABCDE8768F,2,31497,Yes,2,271608,Self-Employed,49,No Property,223576,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
1748747698,ABCDE3908F,0,85714,No,1,206870,Employed,50,No Property,221462,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
7195051606,ABCDE6639F,5,58571,Yes,2,58114,Self-Employed,42,Rent,92451,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
1251631641,ABCDE5027F,3,67969,No,0,137954,Self-Employed,24,Rent,95711,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
6816018907,ABCDE5591F,0,95264,No,0,105285,Employed,26,Own,111726,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
9133007819,ABCDE6957F,0,30794,No,2,145698,Employed,46,No Property,61611,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
8106242703,ABCDE3377F,2,34547,Yes,2,122792,Employed,75,Own,46036,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
8630814363,ABCDE7287F,5,97260,Yes,0,239924,Employed,39,Rent,264304,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
7726816528,ABCDE8728F,0,78912,No,2,162950,Employed,37,No Property,361058,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
8864256553,ABCDE7629F,3,12192,No,1,30412,Employed,59,No Property,46259,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
7319702263,ABCDE5766F,1,89822,No,2,55266,Employed,52,Rent,38498,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
1660820338,ABCDE9112F,0,36913,No,0,105983,Self-Employed,72,Rent,85594,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
6315280704,ABCDE9673F,3,57284,No,2,40635,Self-Employed,47,Own,109096,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
7739002601,ABCDE2251F,0,39690,No,1,190240,Employed,68,Own,260309,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
2249857137,ABCDE3381F,4,81380,Yes,2,58507,Unemployed,75,Rent,124540,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
4025935677,ABCDE1603F,4,97953,Yes,0,54208,Employed,40,No Property,120160,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
5559764905,ABCDE2664F,3,39211,No,0,276228,Employed,64,No Property,198529,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
4082538500,ABCDE9542F,1,50138,Yes,1,167655,Employed,22,No Property,217319,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
3924447644,ABCDE5224F,4,97718,No,1,83528,Self-Employed,63,Rent,78594,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
6435259743,ABCDE4800F,2,89263,Yes,2,31203,Employed,71,Rent,72005,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
8227764690,ABCDE2335F,0,72466,No,2,178099,Unemployed,70,No Property,148788,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
2767874225,ABCDE8693F,1,45422,Yes,0,151625,Unemployed,72,No Property,187843,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7746085654,ABCDE2307F,0,27770,No,0,119522,Employed,72,No Property,73618,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
6620213007,ABCDE8312F,4,57344,Yes,2,280024,Employed,19,Rent,299092,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
6959153506,ABCDE4946F,0,20579,No,0,216283,Unemployed,37,No Property,321892,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
2499672977,ABCDE2219F,4,58673,No,0,56843,Employed,37,Rent,138038,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
7638352075,ABCDE5953F,1,48431,Yes,1,144636,Self-Employed,54,Own,130248,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
3897428990,ABCDE2246F,3,91298,No,1,102429,Employed,47,Own,37987,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
7359605759,ABCDE9481F,1,15729,No,1,205140,Employed,73,Own,372091,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
5398488775,ABCDE6869F,1,81344,No,2,75058,Employed,55,No Property,146011,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
3055706825,ABCDE1827F,4,9682,No,2,222159,Employed,59,Own,271072,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
3269984672,ABCDE5007F,0,33492,Yes,1,67459,Employed,27,No Property,118096,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
2702518515,ABCDE4301F,5,83363,No,2,107264,Unemployed,48,Rent,77385,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
9295441003,ABCDE9142F,5,83327,No,0,204520,Employed,29,Own,293204,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
7830285600,ABCDE9395F,1,85257,Yes,1,48615,Unemployed,50,No Property,87250,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
9212530922,ABCDE9488F,1,91582,Yes,2,25655,Employed,47,Own,65198,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
5361810307,ABCDE6443F,4,79747,No,2,97058,Employed,28,Own,61277,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
6536031680,ABCDE8751F,5,39539,Yes,2,49799,Employed,27,Own,105094,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
4378801357,ABCDE8091F,2,30709,Yes,2,251829,Self-Employed,69,Own,252817,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
9749447265,ABCDE9852F,5,13581,Yes,1,156109,Employed,60,Rent,367579,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
8661664059,ABCDE6504F,1,61787,No,2,118562,Employed,63,Own,112265,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
6729379019,ABCDE9977F,0,55811,No,2,193154,Employed,31,Own,385334,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
9139330155,ABCDE5956F,0,13246,Yes,2,195650,Employed,70,No Property,399750,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
7929165499,ABCDE5383F,5,8102,No,2,101489,Employed,54,No Property,41728,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
7106178556,ABCDE6865F,3,67931,Yes,1,293815,Employed,43,Rent,359265,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6828119497,ABCDE1521F,4,5605,Yes,0,83947,Self-Employed,45,Rent,117775,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
6219064677,ABCDE1355F,2,60325,Yes,2,143623,Unemployed,59,Own,55212,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
3090019035,ABCDE6857F,1,67160,No,0,293677,Unemployed,66,Own,148429,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
9090597476,ABCDE5985F,2,16497,Yes,1,89325,Self-Employed,44,No Property,65425,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
4749542726,ABCDE5353F,2,63835,Yes,0,176082,Employed,41,Rent,331560,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9619568410,ABCDE4188F,5,46732,No,0,169423,Employed,68,No Property,308423,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
9035653769,ABCDE1939F,5,46544,Yes,0,184347,Employed,51,Rent,322913,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
3425860292,ABCDE9353F,0,47697,Yes,1,220524,Unemployed,28,No Property,285426,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
8465907191,ABCDE2570F,5,35278,Yes,1,94018,Employed,49,Rent,46198,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
6666505735,ABCDE1922F,2,57943,No,0,86740,Employed,28,Rent,31844,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
2989170680,ABCDE3214F,5,75629,Yes,1,183432,Unemployed,35,No Property,264065,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
1952664113,ABCDE8799F,5,59085,No,0,259021,Self-Employed,39,Own,168732,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
6228551506,ABCDE8148F,2,14571,Yes,2,81265,Employed,29,Rent,106106,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
5946827614,ABCDE3424F,0,72053,No,2,96935,Self-Employed,19,Own,131260,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
6954206180,ABCDE1178F,4,17219,Yes,2,44475,Self-Employed,43,No Property,90735,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
9067584127,ABCDE2968F,3,65982,No,2,240740,Employed,33,Rent,204790,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
1403437631,ABCDE9342F,5,39948,Yes,2,122197,Unemployed,39,Rent,24718,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
3100503671,ABCDE8153F,2,50094,Yes,2,74246,Self-Employed,50,Rent,148750,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
2770575649,ABCDE6344F,2,15524,Yes,2,256145,Employed,58,No Property,347150,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6469762951,ABCDE2984F,0,30874,Yes,2,182529,Employed,73,Rent,154290,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
9285656216,ABCDE7830F,3,35300,No,2,111709,Self-Employed,35,Own,123942,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
9504203239,ABCDE8505F,5,86441,No,1,192281,Self-Employed,56,Own,219244,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
4985119638,ABCDE3755F,1,92724,No,2,164841,Employed,24,No Property,371684,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
9327883745,ABCDE1805F,5,17110,Yes,1,73620,Unemployed,37,Own,118652,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
