Name,Age,AADHAR_No,PAN_No,Gender,Account_No,Caste,PIN_Code,Annual_Income,Govt_Schemes_Availed,Scheme_Under_Ministry,Eligible_for_PM_KISAN
Ansh Karpe,38,199-02-8434,SgkWq94966,Female,131305356260,General,428512,613851,PDS,Ministry of Consumer Affairs,No
Prisha Deshpande,31,403-02-3389,Jokbb70635,Male,557807866143,General,479737,857263,MNREGA,Ministry of Rural Development,No
Tamanna Choudhary,32,357-08-8064,QslcL39334,Male,743700419335,ST,026389,94305,PMAY,Ministry of Housing and Urban Affairs,Yes
Ekavir Virk,80,955-44-9928,uQddO07716,Male,400213811895,General,408866,585159,Ayushman Bharat,Ministry of Health and Family Welfare,No
Bhavika Raval,39,885-74-5512,MXJSl90067,Male,726198192067,General,855564,880400,Scholarship,Ministry of Education,No
Gaurav Tata,35,500-62-1574,bEQIm68481,Female,037216689138,General,343211,981005,Scholarship,Ministry of Education,No
Yahvi Upadhyay,48,404-94-1309,lMKaR54783,Female,511933627250,OBC,119156,929588,Scholarship,Ministry of Education,No
Yauvani Nagi,72,913-66-1453,AksTu34761,Male,602965105179,OBC,302586,711888,PMAY,Ministry of Housing and Urban Affairs,No
Irya Munshi,43,599-06-8203,bLxFM86877,Female,985045276877,General,242173,975907,MNREGA,Ministry of Rural Development,No
Mohini Viswanathan,80,676-73-0045,YMYYX64715,Male,212639088981,Other,216051,419447,PMAY,Ministry of Housing and Urban Affairs,No
Niharika Batta,80,539-10-0426,Utlgl46107,Female,933909449705,General,039701,993882,Ayushman Bharat,Ministry of Health and Family Welfare,No
Nilima Bobal,55,368-83-5049,jZXYB60351,Male,503706576432,General,798416,182666,PMAY,Ministry of Housing and Urban Affairs,No
Chavvi Deol,73,918-88-3654,LCOct53776,Male,999951989118,SC,036862,927969,Ayushman Bharat,Ministry of Health and Family Welfare,No
Krishna Lata,53,427-40-1948,TitUl09486,Female,892961515822,ST,267089,956658,MNREGA,Ministry of Rural Development,No
Jagdish Chaudhary,71,987-57-7252,XBZeG24432,Male,355491362115,General,080953,912632,MNREGA,Ministry of Rural Development,No
Noah Reddy,24,319-67-2373,NbKRX65672,Male,386249840186,General,479648,931240,PMAY,Ministry of Housing and Urban Affairs,No
Ayushman Vyas,57,924-78-5636,uQhBk81335,Male,634606572287,SC,607717,426892,PMAY,Ministry of Housing and Urban Affairs,No
Ijaya Brahmbhatt,62,045-19-8351,aTAqz75762,Male,856824143636,General,984780,270995,PDS,Ministry of Consumer Affairs,No
Janani Bhat,19,470-39-9509,mIbrW10101,Female,088395427789,General,816641,195754,PMAY,Ministry of Housing and Urban Affairs,No
Eesha Kannan,58,807-68-7185,pDsZl17484,Female,269077809667,OBC,554526,583606,Scholarship,Ministry of Education,No
Oviya Kannan,69,370-61-8719,MUNIJ81878,Female,652082440414,General,572501,139269,MNREGA,Ministry of Rural Development,Yes
Nandini Ranganathan,46,385-58-1897,kxNqW03736,Female,520442579983,General,532985,788313,PMAY,Ministry of Housing and Urban Affairs,No
Liam Agarwal,49,903-54-5408,sVOcG95259,Male,020310504642,General,835584,224719,Scholarship,Ministry of Education,No
Omya D’Alia,48,243-32-8496,iEZgI19710,Female,239080771127,General,001140,459905,PMAY,Ministry of Housing and Urban Affairs,No
Pushti Tiwari,54,156-55-8317,VnATP15872,Female,554611427124,General,997046,719812,PDS,Ministry of Consumer Affairs,No
Max Jaggi,43,031-35-3592,tfuqv35492,Male,532880748929,OBC,939378,782459,Scholarship,Ministry of Education,No
Gaurangi Balasubramanian,36,354-69-6665,OUVvM03064,Female,909879385854,SC,978440,789442,PDS,Ministry of Consumer Affairs,No
Zayan Trivedi,23,077-36-7428,YZotV00664,Male,447181316470,General,834493,635441,PDS,Ministry of Consumer Affairs,No
Abhimanyu Chatterjee,22,018-61-9967,fJhaF39479,Male,344332600390,OBC,181279,771337,MNREGA,Ministry of Rural Development,No
Patrick Baral,41,247-55-4555,tceVT92259,Female,121066879905,General,039498,415124,PMAY,Ministry of Housing and Urban Affairs,No
Kai Ram,21,285-79-7005,jsrLk19982,Male,957490758400,General,360613,221110,Ayushman Bharat,Ministry of Health and Family Welfare,No
Karan Nanda,28,911-05-5875,iLtWy81914,Female,007055333683,General,363042,109427,PMAY,Ministry of Housing and Urban Affairs,Yes
Falguni Chahal,53,026-10-6569,aaYFB03785,Male,117301131260,General,960415,155847,MNREGA,Ministry of Rural Development,No
Yatin Sinha,65,232-39-1221,fdrez23774,Male,555197702207,ST,387179,749725,MNREGA,Ministry of Rural Development,No
Reyansh Mitra,25,344-88-9832,MdrjQ78628,Male,860199741609,OBC,984072,898061,Scholarship,Ministry of Education,No
Brijesh Divan,62,789-94-1549,Wdcbp50269,Female,159515099593,General,534003,399432,PDS,Ministry of Consumer Affairs,No
Pratyush Khurana,47,233-68-2841,tUxos22930,Female,958331523995,General,641079,767666,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ishwar Varkey,69,247-41-5061,WBQdI47836,Female,197637656666,General,538213,302694,PMAY,Ministry of Housing and Urban Affairs,No
Dakshesh Bhagat,26,974-91-2996,NQzyg06096,Male,489677264638,OBC,220657,712184,Scholarship,Ministry of Education,No
Libni Bhakta,64,474-31-6510,zxEjC24235,Female,498424431527,General,306215,916120,Ayushman Bharat,Ministry of Health and Family Welfare,No
Chameli Nanda,73,841-88-2777,cVPFe79170,Male,614325469425,General,685502,130946,PMAY,Ministry of Housing and Urban Affairs,Yes
Veda Upadhyay,19,085-18-6906,qjznh92187,Female,546524345229,General,397557,594949,Scholarship,Ministry of Education,No
Yutika Ravi,61,245-17-0721,uvRmV65146,Other,050206389691,SC,214833,812069,PDS,Ministry of Consumer Affairs,No
David Gulati,53,560-56-0702,tWCBo36326,Male,748489459664,General,895091,602077,Scholarship,Ministry of Education,No
Charita Oak,26,016-42-8276,PGBuS72371,Female,133624426814,OBC,122321,432068,PMAY,Ministry of Housing and Urban Affairs,No
Kamala Tank,49,406-59-6298,OKjjJ03649,Male,124772354233,General,065551,727265,PMAY,Ministry of Housing and Urban Affairs,No
Vasatika Ramakrishnan,41,837-65-9558,GsjCE98042,Female,708036010092,OBC,539950,183167,Scholarship,Ministry of Education,No
Mekhala Singhal,77,575-18-9471,WMJAV01670,Male,420487175878,OBC,739302,642633,MNREGA,Ministry of Rural Development,No
Rachit Krishna,23,812-78-7863,rVZui52052,Female,169174076066,OBC,390097,372649,MNREGA,Ministry of Rural Development,No
Zayyan Tak,80,409-43-7257,AFKqG19342,Male,415755029571,OBC,405293,89357,Scholarship,Ministry of Education,Yes
Ekavir Singh,79,846-69-5305,YasbR36323,Female,124417082689,OBC,534925,840389,PMAY,Ministry of Housing and Urban Affairs,No
Nikita Johal,52,956-06-5828,xxhCI97207,Male,848891466552,General,723264,995560,PDS,Ministry of Consumer Affairs,No
Chakrika Gulati,58,014-40-7253,jiHBq34005,Female,776124615427,General,354691,866059,Scholarship,Ministry of Education,No
Qushi Bhardwaj,67,878-74-5879,neFYl13498,Male,733427596827,General,913520,122820,Scholarship,Ministry of Education,Yes
Ekalinga Kanda,29,103-03-3088,HmSef01809,Female,343010277226,OBC,612407,456333,MNREGA,Ministry of Rural Development,No
Max Nadig,28,520-60-5180,MXKAg25628,Male,628251435278,General,930613,823257,Ayushman Bharat,Ministry of Health and Family Welfare,No
Reva Suri,55,535-27-9754,SulmV12899,Female,301980042628,General,031866,718370,PMAY,Ministry of Housing and Urban Affairs,No
Raksha Mukhopadhyay,76,922-51-6851,JoAsZ70648,Male,827134010965,OBC,398250,508978,PDS,Ministry of Consumer Affairs,No
Lajita Dutta,62,202-01-1028,gqIUi62822,Male,856806761691,OBC,253119,965612,Ayushman Bharat,Ministry of Health and Family Welfare,No
Nathaniel Pau,65,308-77-6450,ZZVFE12799,Male,838183502233,OBC,868318,233487,Scholarship,Ministry of Education,No
Rachit Palan,22,405-40-1638,MlYKB32656,Male,717342660640,OBC,738977,83356,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Kala Salvi,53,469-26-6986,EpszX91484,Female,738182413862,OBC,861851,625182,PMAY,Ministry of Housing and Urban Affairs,No
Baghyawati Dutta,23,460-94-8438,eoriu07708,Female,805607023222,General,447679,384375,Scholarship,Ministry of Education,No
Neelima Din,45,108-55-7310,vMEkd08901,Male,190187812741,General,533194,762911,Ayushman Bharat,Ministry of Health and Family Welfare,No
Henry Majumdar,59,529-13-8392,hifpQ24732,Female,936687279224,OBC,671416,943515,Ayushman Bharat,Ministry of Health and Family Welfare,No
Naksh Pingle,73,064-18-1226,RjkdF73365,Female,289307737463,General,501406,776275,Ayushman Bharat,Ministry of Health and Family Welfare,No
Chatura Handa,44,515-86-4939,CkDej31081,Male,879919156812,General,949306,831153,Ayushman Bharat,Ministry of Health and Family Welfare,No
Netra Reddy,43,018-33-6299,PbHHx12811,Male,090227495395,General,323407,711120,Scholarship,Ministry of Education,No
Noah Buch,44,920-54-2553,WEhvv87972,Male,013511895600,OBC,487486,241495,PDS,Ministry of Consumer Affairs,No
Ishita Shankar,52,590-07-4680,JFNYA07593,Female,862137766234,OBC,950607,273097,MNREGA,Ministry of Rural Development,No
Indali Murty,76,109-47-6208,ILQPY53258,Male,938439090385,General,008428,494705,Scholarship,Ministry of Education,No
Ganga Parmer,79,644-97-4984,oUYBH45431,Male,558198378911,SC,393151,169949,PMAY,Ministry of Housing and Urban Affairs,No
Dalbir Pau,36,126-15-1966,ETANm15813,Female,888928848945,SC,606449,113810,Scholarship,Ministry of Education,Yes
Nachiket Atwal,25,325-05-6835,YxYhf86495,Male,718471833038,OBC,942201,625684,MNREGA,Ministry of Rural Development,No
Jackson Anand,30,517-06-6489,SjBZa15153,Female,514691898087,SC,449658,768715,MNREGA,Ministry of Rural Development,No
Yagnesh Shan,47,190-93-0375,kpBhP91834,Female,992802276271,OBC,159309,929502,Ayushman Bharat,Ministry of Health and Family Welfare,No
Urvi Sahni,24,443-12-6434,jnxEZ96017,Male,996425474594,General,106908,477343,PMAY,Ministry of Housing and Urban Affairs,No
Yoshita Grewal,70,022-86-7486,HnNPQ79178,Male,996841192377,General,873803,216289,Scholarship,Ministry of Education,No
Sara Dani,66,675-04-5922,glJYz97190,Female,764656814006,OBC,138726,510080,PDS,Ministry of Consumer Affairs,No
Ekani Agarwal,25,422-13-3460,dDYlr44968,Female,300317058574,General,541229,175089,PMAY,Ministry of Housing and Urban Affairs,No
Faras Magar,79,433-10-2873,XaLRO98445,Female,791452643775,SC,226810,450030,Ayushman Bharat,Ministry of Health and Family Welfare,No
Urishilla Buch,38,004-07-9675,sfqBF41012,Male,282085921638,SC,202260,858072,Ayushman Bharat,Ministry of Health and Family Welfare,No
Osha Verma,34,916-70-4901,vDDLm08985,Female,378387379023,General,866895,44618,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Anthony Kakar,65,043-40-9289,FNFgy02079,Male,884519288222,General,924149,23503,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Umang Ramanathan,78,112-73-6323,uUqZJ73915,Female,294215899702,SC,890676,757370,PMAY,Ministry of Housing and Urban Affairs,No
Lohit Bala,22,022-68-0573,feXVy03345,Male,975267255582,General,505973,480831,PDS,Ministry of Consumer Affairs,No
Dhriti Doctor,48,647-47-7443,HLcAE92390,Male,400530585440,General,785069,148063,PDS,Ministry of Consumer Affairs,Yes
Tanay Nigam,42,612-35-9484,EiqYw95569,Male,939115339003,General,646393,211336,Ayushman Bharat,Ministry of Health and Family Welfare,No
Bachittar Garg,57,248-17-6530,JyOMo56245,Female,567917524066,General,749697,788778,Scholarship,Ministry of Education,No
Jeet Sankar,53,529-45-8758,esudx91073,Male,291116524958,SC,939240,627886,Scholarship,Ministry of Education,No
Ubika Mistry,53,935-95-6834,EwcLC42848,Male,523127098973,SC,954561,942932,Scholarship,Ministry of Education,No
Vihaan More,65,695-13-3668,SzcDz49147,Male,867986304932,General,007948,855440,MNREGA,Ministry of Rural Development,No
Kai Patla,29,455-89-9454,mLSiQ41724,Female,522287306972,General,241112,583360,Ayushman Bharat,Ministry of Health and Family Welfare,No
Barkha Lal,76,979-07-6495,CcUbG62946,Female,601124227067,General,682156,360459,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ronith Dhillon,67,324-04-2625,vJbEe90614,Male,813860208223,SC,109998,247898,MNREGA,Ministry of Rural Development,No
Anusha Nadig,48,235-66-8864,yJiBw85607,Other,411791602942,General,506276,527718,MNREGA,Ministry of Rural Development,No
Lajita Aggarwal,58,809-64-4869,DotfV16398,Female,008339281585,General,804065,605215,Scholarship,Ministry of Education,No
Vihaan Agarwal,33,530-74-7217,JqWjB05679,Male,046772532485,ST,693448,781761,PMAY,Ministry of Housing and Urban Affairs,No
Janani Dhar,61,111-28-4525,yZijF47473,Male,114641985175,General,296338,311864,Ayushman Bharat,Ministry of Health and Family Welfare,No
Jai Puri,23,262-20-4132,VALQW68678,Female,367569563170,General,836186,114313,MNREGA,Ministry of Rural Development,Yes
Krishna Bhat,26,048-18-4045,fJgsA88245,Female,069617795623,General,581753,271912,Scholarship,Ministry of Education,No
Urishilla Rama,50,916-40-6848,NeGbF01183,Female,369011130697,General,786501,520546,MNREGA,Ministry of Rural Development,No
Luke Lad,23,238-97-8663,vObUx59389,Male,462515622991,OBC,852297,600776,Scholarship,Ministry of Education,No
Yash Bala,24,045-30-5463,DLHaw65306,Male,697784782836,ST,452539,124849,Scholarship,Ministry of Education,Yes
Mitesh Luthra,37,529-69-2885,viPmQ82883,Male,358367369382,Other,478245,279582,PDS,Ministry of Consumer Affairs,No
Yashoda Varma,44,861-73-0850,rjvfE24903,Female,085943826618,OBC,765076,52347,MNREGA,Ministry of Rural Development,Yes
Forum Dugar,28,802-18-3403,nGwWP18703,Male,076177853568,General,758351,405112,PMAY,Ministry of Housing and Urban Affairs,No
Andrew Koshy,61,885-44-9885,zsCjm43603,Male,317303966880,ST,146912,143791,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Raghav Vaidya,29,034-92-2482,VDFDo64101,Male,297010953943,ST,282228,935197,MNREGA,Ministry of Rural Development,No
Samar Venkatesh,19,898-33-2933,UyhCS52809,Female,091153972762,OBC,915442,281018,MNREGA,Ministry of Rural Development,No
Raksha Narayanan,43,824-29-3035,JwwnH92130,Female,206151328528,SC,070729,707260,PMAY,Ministry of Housing and Urban Affairs,No
Falak Shenoy,34,619-63-3143,BnVMl67392,Female,932248246869,OBC,405577,621837,PMAY,Ministry of Housing and Urban Affairs,No
Isaiah Naidu,50,031-02-5271,OKcLI90238,Female,781443913328,General,461858,775297,PMAY,Ministry of Housing and Urban Affairs,No
Hemani Singh,19,986-42-5436,AASjw47334,Male,201561746109,OBC,624256,769080,MNREGA,Ministry of Rural Development,No
Hamsini Konda,21,308-40-8033,TGshj33276,Female,876354183141,General,886987,357496,Scholarship,Ministry of Education,No
Wazir Talwar,28,374-20-3887,ZhazN85244,Female,837606369407,General,818999,354745,Ayushman Bharat,Ministry of Health and Family Welfare,No
Manya Chauhan,47,349-87-9158,tZDaS00882,Male,530381855136,General,096982,845678,Scholarship,Ministry of Education,No
Anita Prasad,72,009-17-9233,cspAF37256,Female,741744903642,General,602849,674827,PMAY,Ministry of Housing and Urban Affairs,No
Jacob Sachdev,76,592-34-1579,XKDne05024,Female,801061510064,OBC,178733,226070,PMAY,Ministry of Housing and Urban Affairs,No
Chandani Purohit,62,684-86-2779,BqeXc56014,Male,103618979793,OBC,812055,85762,MNREGA,Ministry of Rural Development,Yes
Lipika Banik,43,429-52-3343,ZjimB66636,Female,597103324978,OBC,112478,624855,PDS,Ministry of Consumer Affairs,No
Triveni Narayan,58,534-96-2987,RRxBy62591,Female,901498238986,OBC,195478,465505,MNREGA,Ministry of Rural Development,No
Maanav Wason,23,808-03-6830,cEcUu63431,Other,560200007063,General,110927,820682,PDS,Ministry of Consumer Affairs,No
Arunima Sen,62,729-83-8772,ciZNB16630,Female,945240572873,General,296051,261515,PDS,Ministry of Consumer Affairs,No
Harinakshi Kothari,39,119-11-4492,TVLEI05572,Male,427561056757,OBC,822979,397190,Ayushman Bharat,Ministry of Health and Family Welfare,No
Jason Borra,21,988-31-7354,qCLCj08015,Female,712179295993,General,312111,97367,Scholarship,Ministry of Education,Yes
Forum Mishra,41,026-25-4285,TlFPl93571,Male,335000899626,SC,635470,183721,PDS,Ministry of Consumer Affairs,No
Isaac Nath,71,565-05-4735,ZmQrB02588,Female,754690225530,OBC,795947,199973,Scholarship,Ministry of Education,No
Faris Malhotra,25,406-42-9985,QNAqB17406,Male,815620889047,General,893486,745114,MNREGA,Ministry of Rural Development,No
Madhav Pai,73,092-89-6695,iiKYr68073,Male,596429602842,ST,780073,870930,MNREGA,Ministry of Rural Development,No
Kai Kunda,18,653-60-3368,lfyHY54349,Female,799466758744,OBC,026675,303528,PDS,Ministry of Consumer Affairs,No
Nicholas Mangat,77,779-49-4036,ECrxy47538,Female,948611389703,General,337677,316924,Ayushman Bharat,Ministry of Health and Family Welfare,No
Harsh Peri,79,998-10-3754,ndVEs83581,Male,529608961704,General,464046,661872,Ayushman Bharat,Ministry of Health and Family Welfare,No
Baljiwan Dhillon,36,753-96-0942,YBlSb86686,Male,131560734346,OBC,492930,900002,PDS,Ministry of Consumer Affairs,No
Upma Rege,47,413-77-1138,DAMdC36427,Female,932779190601,OBC,775837,563843,Ayushman Bharat,Ministry of Health and Family Welfare,No
Rachana Kakar,21,298-24-0175,dCSOn67562,Male,153487308230,General,879149,518661,PMAY,Ministry of Housing and Urban Affairs,No
Hiral Sachar,75,295-60-0245,yPoEP18510,Other,910131896782,General,373783,736686,PDS,Ministry of Consumer Affairs,No
Ethan Din,35,507-08-5377,QvOpU32419,Female,663440720039,General,395481,218052,Scholarship,Ministry of Education,No
Jyoti Bhakta,41,081-10-4903,XEnEH27702,Female,936501728427,OBC,995610,562588,PDS,Ministry of Consumer Affairs,No
Gunbir Chahal,43,445-90-8343,MdqbW32832,Other,104311359231,OBC,562988,719353,MNREGA,Ministry of Rural Development,No
Yashoda Nagi,72,598-42-3305,IdGuT26309,Female,713576080450,General,737447,430987,MNREGA,Ministry of Rural Development,No
Jagdish Golla,37,765-63-3902,Iipbm23280,Male,195234888108,General,375928,656860,PDS,Ministry of Consumer Affairs,No
Hredhaan Sastry,79,734-87-6810,hNhVC27723,Female,276117785272,General,582833,266490,PMAY,Ministry of Housing and Urban Affairs,No
Jackson Jaggi,50,616-45-1087,owuRk65678,Male,817719866554,General,674138,900333,MNREGA,Ministry of Rural Development,No
Jason Patil,39,302-84-0535,EPKZd28242,Female,974651610361,OBC,214102,180316,Ayushman Bharat,Ministry of Health and Family Welfare,No
Sara Manne,40,554-52-4990,EQuZZ03246,Female,527638671033,OBC,450575,845422,MNREGA,Ministry of Rural Development,No
Omisha Lall,58,514-21-9898,jbPqs96370,Female,367940678443,General,869339,69631,PDS,Ministry of Consumer Affairs,Yes
Mekhala Deol,19,587-90-2289,TcNPX97607,Female,316565517130,General,268598,196325,PDS,Ministry of Consumer Affairs,No
Benjamin Yadav,57,460-10-6152,fSNNF40983,Female,421583947381,General,103560,725924,PMAY,Ministry of Housing and Urban Affairs,No
Abhimanyu Sethi,74,268-72-2358,PpXei81951,Female,194898948409,General,600620,211731,Scholarship,Ministry of Education,No
Hitesh Sanghvi,66,883-73-8875,rKlUj07844,Female,987028852694,General,680305,931884,PDS,Ministry of Consumer Affairs,No
Ekiya Buch,19,564-54-9188,MgWIb41957,Female,797500291749,General,723410,594241,PDS,Ministry of Consumer Affairs,No
Eiravati Sengupta,21,214-88-1114,RvStT25661,Male,525342095566,OBC,537912,873094,PMAY,Ministry of Housing and Urban Affairs,No
Isha Pandit,79,431-68-2787,fWSTu73257,Female,820475920214,General,443149,860350,Scholarship,Ministry of Education,No
Idika Raval,25,936-95-1980,sirvK81111,Female,401739429941,General,594851,404893,MNREGA,Ministry of Rural Development,No
Naksh Badal,75,907-01-6294,xdgDo33624,Male,003857345247,General,241501,483284,MNREGA,Ministry of Rural Development,No
Lucky Zachariah,51,083-26-0963,SkzoC14060,Male,220139812031,OBC,871867,141435,Scholarship,Ministry of Education,Yes
Yuvraj Bhargava,38,099-31-6863,yuNoK94106,Female,571676195625,General,917405,548740,PMAY,Ministry of Housing and Urban Affairs,No
Jagdish Vala,28,406-26-6556,HvAbD16305,Female,239829202749,OBC,750573,541991,PMAY,Ministry of Housing and Urban Affairs,No
Alka Kara,35,856-63-1670,CSDvw64236,Male,190590803517,SC,328275,599155,MNREGA,Ministry of Rural Development,No
Sai Patel,53,977-09-3220,rOFJg42014,Female,509435804221,General,432932,581053,PMAY,Ministry of Housing and Urban Affairs,No
Yagnesh Goyal,58,951-96-4906,ztCMd67644,Female,001402693792,General,268431,764922,Scholarship,Ministry of Education,No
Gopal Sathe,59,687-40-4158,RTbLe43877,Male,495744235189,General,072351,991604,PDS,Ministry of Consumer Affairs,No
Anya Sachdev,28,997-59-3800,dBCys03311,Male,022152055704,OBC,016104,230981,PDS,Ministry of Consumer Affairs,No
Maya Kari,54,742-26-9162,dOfrl63642,Female,758256717300,OBC,321169,856004,PDS,Ministry of Consumer Affairs,No
Reva Bail,36,034-61-5465,SjYHt36443,Male,274001902289,General,552491,283446,PMAY,Ministry of Housing and Urban Affairs,No
Harish Chaudhary,21,691-85-6569,pSDze70124,Male,422027002603,ST,185068,277159,Scholarship,Ministry of Education,No
Januja Radhakrishnan,18,337-86-2411,iYShE01235,Male,982563074672,General,414867,554604,PDS,Ministry of Consumer Affairs,No
Neel Iyer,37,964-71-3642,vTIsx58364,Female,418276018770,General,707719,876863,PDS,Ministry of Consumer Affairs,No
Panini Shukla,47,577-34-7246,ngrjk00402,Male,509393738809,General,288194,351684,Scholarship,Ministry of Education,No
Omya Acharya,68,448-65-4314,sjeom44963,Other,800671963804,General,033875,878489,PMAY,Ministry of Housing and Urban Affairs,No
Nicholas Memon,67,059-02-7219,VrVhL50979,Male,269423339536,General,153234,558027,PDS,Ministry of Consumer Affairs,No
Idika Cheema,48,812-45-3470,HBcuP67003,Male,835883908284,General,472814,624084,PDS,Ministry of Consumer Affairs,No
Warda Verma,26,856-18-5585,BdcrF59328,Male,661136309285,OBC,957961,568414,PDS,Ministry of Consumer Affairs,No
Lavanya Prashad,70,795-90-3838,bNyHn36420,Female,840982223472,ST,754232,607166,PMAY,Ministry of Housing and Urban Affairs,No
Pallavi Dass,46,303-50-8767,DviHj62460,Female,049257003792,General,007113,340970,PDS,Ministry of Consumer Affairs,No
Parth Bhalla,53,332-78-0524,taAMt40316,Female,999088930724,General,921508,430421,MNREGA,Ministry of Rural Development,No
Falguni Nair,72,477-30-0987,SKNih42894,Male,850991089809,General,033619,630913,PMAY,Ministry of Housing and Urban Affairs,No
Triveni Andra,53,711-29-4506,axxrk52195,Other,129433309758,General,717215,831136,Scholarship,Ministry of Education,No
Ayushman Loyal,39,870-57-1799,DEPVI70810,Male,377255380667,General,135680,352523,MNREGA,Ministry of Rural Development,No
Ojas Suresh,77,953-58-6311,GwFiS15101,Male,130714463626,General,719109,868990,Ayushman Bharat,Ministry of Health and Family Welfare,No
Yashica Bose,22,331-55-2189,GhUKq59036,Female,014659829416,OBC,544957,851771,Scholarship,Ministry of Education,No
Nachiket Dewan,29,152-87-4831,aETQu02793,Female,412612086179,General,317334,412353,PMAY,Ministry of Housing and Urban Affairs,No
Yagnesh Pillay,73,083-16-5783,XdVdC44007,Female,308208053319,SC,221954,590654,MNREGA,Ministry of Rural Development,No
Pavani Mittal,57,966-82-9127,MEmhA74975,Female,423925459732,General,806044,773710,Scholarship,Ministry of Education,No
Lekha Badami,42,047-51-4960,PplsS70256,Female,717800881948,General,007131,414371,PDS,Ministry of Consumer Affairs,No
Vasudha Bose,52,737-81-5660,NlChA32194,Female,867120768119,General,502057,683803,PDS,Ministry of Consumer Affairs,No
Dominic Joshi,56,219-45-1361,TuYwz07812,Male,924170173719,OBC,900623,772957,Ayushman Bharat,Ministry of Health and Family Welfare,No
Charles Kade,76,343-26-8409,ScNUn85837,Female,132235605787,General,505800,250572,PMAY,Ministry of Housing and Urban Affairs,No
Advika Hans,44,949-61-2990,kXLqu78710,Male,161866595772,ST,003066,326538,Scholarship,Ministry of Education,No
Nitara Mane,68,500-28-2331,KxJVK16609,Male,626206196739,General,213161,180723,PMAY,Ministry of Housing and Urban Affairs,No
Sara Date,48,770-96-4408,oPYHo76970,Female,381117303362,General,763290,539157,Ayushman Bharat,Ministry of Health and Family Welfare,No
Fitan Chandra,23,777-53-3335,FHgHv22564,Male,900918713647,OBC,904871,179300,PDS,Ministry of Consumer Affairs,No
Bhanumati Anand,79,843-08-5409,TjKCo32099,Male,253242069564,SC,252699,285616,PDS,Ministry of Consumer Affairs,No
Om Sane,29,809-27-0047,iaMMB03399,Female,330150611855,General,120413,452328,Scholarship,Ministry of Education,No
Aadhya Chandran,70,985-47-0648,KgZki19464,Female,040735903179,General,981909,277686,PMAY,Ministry of Housing and Urban Affairs,No
Rachana Buch,39,817-37-5379,KaLOK87325,Female,540610085863,General,509945,397436,PDS,Ministry of Consumer Affairs,No
Daksh Mane,56,407-02-6952,haDfV04757,Male,262576621795,OBC,429324,982155,PMAY,Ministry of Housing and Urban Affairs,No
Veda Borde,42,809-52-2760,xeRTL32127,Male,317595491489,General,882060,292439,Scholarship,Ministry of Education,No
Kala Shankar,50,244-09-4804,PUWug65755,Male,210409140164,OBC,132614,99522,PMAY,Ministry of Housing and Urban Affairs,Yes
Ubika Mishra,64,704-36-9217,riAsl16960,Male,953335129475,General,427087,585589,MNREGA,Ministry of Rural Development,No
Ekaja Mangat,49,560-31-1184,QcWRQ40621,Female,834395862811,General,165564,652887,Scholarship,Ministry of Education,No
Akshay Raju,49,374-96-7110,aBgew22044,Female,858140044332,OBC,984784,821835,MNREGA,Ministry of Rural Development,No
Shivansh Bains,48,336-65-5239,yhzkz22336,Female,259377929656,General,256965,402958,Scholarship,Ministry of Education,No
Anmol Bath,67,246-71-2121,JWXSj04790,Male,656338729820,SC,014513,807538,Ayushman Bharat,Ministry of Health and Family Welfare,No
Brijesh Natarajan,47,750-62-0278,oNEYB45895,Female,613593365145,General,164918,437386,MNREGA,Ministry of Rural Development,No
Jacob Suri,31,658-46-2969,oKtra92318,Male,228635715035,OBC,902161,423478,Ayushman Bharat,Ministry of Health and Family Welfare,No
Janaki Dugal,64,093-38-0360,EFlvn00878,Female,407219945894,General,192394,692314,Ayushman Bharat,Ministry of Health and Family Welfare,No
George Bahri,26,224-42-8150,cYdCA12631,Male,320082326751,OBC,638142,940657,PMAY,Ministry of Housing and Urban Affairs,No
Ucchal Wable,44,453-62-6846,QePYq62314,Male,148482842264,General,789577,686231,MNREGA,Ministry of Rural Development,No
Saksham Varghese,27,032-25-3289,sgZlN34590,Male,072375700096,OBC,904066,236586,PMAY,Ministry of Housing and Urban Affairs,No
Xiti Pandey,40,028-35-2666,msURb72677,Male,107575893627,General,103133,320480,PDS,Ministry of Consumer Affairs,No
Ekalinga Trivedi,53,863-47-2588,OKByv31771,Male,400021474471,OBC,328076,297240,Scholarship,Ministry of Education,No
Abhimanyu Garg,32,581-91-1253,gpTuG76467,Other,291462892943,SC,125047,379106,PMAY,Ministry of Housing and Urban Affairs,No
Jason Amble,52,070-57-3727,UtfAX91709,Male,824938495689,OBC,526782,340753,Ayushman Bharat,Ministry of Health and Family Welfare,No
Noah Bandi,34,690-14-6458,GwLdZ88495,Male,273793744216,ST,241481,64242,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Niharika Reddy,74,195-09-0524,ICWyc70681,Female,723947007958,General,526670,574589,MNREGA,Ministry of Rural Development,No
Karan Mand,19,700-48-1727,dVgUS44653,Female,686671874545,SC,252517,370108,MNREGA,Ministry of Rural Development,No
