Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,marital_status
Person_478,9137735676,ABCDE2229F,5,90794,No,1,720885,Self-Employed,46,Rent,60954,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_556,8724733632,ABCDE1143F,3,12502,Yes,1,912642,Employed,59,Own,60844,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_266,6705680240,ABCDE6392F,1,64038,Yes,2,212655,Self-Employed,40,None,115679,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_360,4458160304,ABCDE9469F,5,15001,No,1,968948,Self-Employed,45,Rent,356149,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_724,4565812536,ABCDE2812F,4,82214,Yes,0,562837,Self-Employed,49,Rent,377374,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_728,1518792116,ABCDE2570F,4,29440,Yes,1,555661,Unemployed,63,Own,57096,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_211,6654072798,ABCDE6832F,5,45477,No,1,451491,Unemployed,46,Own,321213,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_591,8954668508,ABCDE5086F,0,98891,No,1,978245,Unemployed,20,None,214777,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_392,2116292327,ABCDE8075F,5,62334,No,0,413995,Self-Employed,65,Own,498179,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_947,6202963975,ABCDE4267F,5,33538,No,1,382063,Unemployed,52,Own,69240,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_248,5851300635,ABCDE6289F,2,48127,No,0,504773,Unemployed,59,Rent,415362,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_762,6202516202,ABCDE5376F,3,35608,Yes,0,967026,Unemployed,57,None,69571,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_656,8497936143,ABCDE5558F,5,39153,No,1,647757,Self-Employed,30,Rent,355485,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_926,6898388613,ABCDE4753F,3,43889,No,2,589109,Self-Employed,39,None,467058,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_753,9620692335,ABCDE2818F,1,47670,Yes,0,317166,Employed,46,Rent,348341,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_122,7806790912,ABCDE1079F,2,85920,Yes,1,308813,Self-Employed,67,Rent,465375,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_659,7776985012,ABCDE7182F,0,28422,No,2,790821,Employed,53,Rent,406431,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_892,4913172845,ABCDE7500F,3,82462,No,1,891157,Unemployed,33,Rent,129018,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_814,2539287741,ABCDE9506F,0,83663,No,2,148180,Employed,35,Own,252897,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_859,2972675108,ABCDE8175F,1,44472,No,0,941442,Unemployed,45,Own,342647,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_470,5194667336,ABCDE9781F,2,46327,Yes,1,879600,Employed,66,None,388145,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_421,9329375536,ABCDE8605F,5,55721,Yes,0,208807,Unemployed,33,Own,451078,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_260,3810043216,ABCDE4224F,4,28351,Yes,1,54174,Unemployed,58,Rent,452964,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_568,1889567940,ABCDE7068F,2,32157,Yes,2,547830,Self-Employed,54,Rent,362611,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_887,9772105195,ABCDE7383F,4,56415,No,1,254672,Employed,38,None,359605,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_377,4586745651,ABCDE4263F,0,53663,No,0,299047,Unemployed,25,Own,141879,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_202,8283964565,ABCDE7587F,0,16677,No,0,549051,Employed,38,Rent,239800,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_470,8957214026,ABCDE6107F,0,12133,No,0,329926,Unemployed,63,Rent,130683,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_126,3150425565,ABCDE8412F,5,10445,Yes,2,694324,Employed,24,None,62225,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_408,5095443351,ABCDE3932F,1,59492,No,1,401148,Unemployed,72,None,122009,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_202,8697743294,ABCDE4797F,1,28212,No,0,147258,Self-Employed,49,Own,360903,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_697,3876452410,ABCDE9769F,0,86357,No,2,208002,Self-Employed,55,Rent,152150,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_881,3703552295,ABCDE9298F,3,34349,No,1,109593,Self-Employed,22,Rent,343952,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_353,1815663647,ABCDE9802F,2,31244,No,1,304683,Self-Employed,57,Rent,244051,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_975,4524609729,ABCDE6403F,2,91340,No,0,931472,Unemployed,18,Rent,456461,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_275,1874022666,ABCDE3910F,0,51414,Yes,2,784738,Unemployed,73,Own,310828,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_374,9741662146,ABCDE7227F,0,59145,Yes,2,993377,Employed,50,Rent,301215,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_339,7575113791,ABCDE1516F,2,76910,Yes,1,345260,Employed,18,None,1077,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_840,5751754216,ABCDE8562F,0,69917,Yes,1,92285,Employed,30,None,283056,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_95,1994793062,ABCDE7801F,3,86593,No,2,836154,Employed,54,None,440801,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_903,3252431136,ABCDE3739F,3,62215,Yes,1,882995,Self-Employed,32,Own,207847,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_974,7103263976,ABCDE8630F,2,91412,No,0,359126,Self-Employed,64,None,196925,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_554,2665200378,ABCDE6307F,4,67803,No,2,221557,Employed,47,Own,244277,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_398,5153924175,ABCDE7850F,4,25478,Yes,1,800759,Unemployed,18,None,387192,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_708,1429293988,ABCDE7027F,2,41493,Yes,0,409319,Unemployed,27,Own,75430,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_562,2904481690,ABCDE9589F,1,45418,Yes,1,840440,Unemployed,44,Own,364938,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_917,6525785608,ABCDE6443F,0,97050,Yes,2,103685,Employed,69,Own,325654,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_825,2574748937,ABCDE4719F,5,71515,Yes,2,938125,Employed,31,Own,119209,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_545,1681566415,ABCDE4872F,2,96046,Yes,0,656081,Employed,41,None,371952,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_391,2871499801,ABCDE1699F,3,37062,Yes,0,641123,Unemployed,63,None,471583,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_71,7027968548,ABCDE1481F,0,39296,Yes,2,783428,Unemployed,48,None,466213,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_145,9200342104,ABCDE1248F,0,78457,No,1,807317,Self-Employed,72,Rent,228520,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_896,6514809423,ABCDE2416F,3,88082,No,2,574484,Self-Employed,18,None,159275,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_604,8752610592,ABCDE9335F,2,39644,No,1,844365,Unemployed,20,None,421194,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_631,8793973184,ABCDE3199F,0,79459,No,0,135843,Self-Employed,45,Own,50562,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_135,4136223431,ABCDE3494F,2,82657,No,2,465760,Unemployed,25,None,4150,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_640,7592415413,ABCDE5005F,5,59079,Yes,2,557265,Self-Employed,52,Own,107556,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_64,9215710819,ABCDE7513F,1,99163,Yes,0,953037,Self-Employed,69,Own,273690,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_613,9861765910,ABCDE5807F,3,38401,No,0,192984,Employed,71,Rent,460265,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_6,8043059751,ABCDE3326F,3,39913,No,2,890392,Self-Employed,20,None,40352,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_983,5034062916,ABCDE6951F,4,35075,Yes,2,714497,Self-Employed,59,Own,148209,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_391,6823345950,ABCDE5916F,3,96327,No,0,146487,Unemployed,23,None,180886,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_678,4363196373,ABCDE2512F,3,75014,Yes,1,472182,Employed,46,Own,76259,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_5,5877185087,ABCDE5016F,0,97176,Yes,2,366799,Self-Employed,37,Rent,55227,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_921,4015070358,ABCDE4950F,5,70693,Yes,1,185795,Unemployed,34,None,473711,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_476,3649629034,ABCDE2798F,4,56890,No,0,467546,Employed,72,None,363071,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_411,3784921655,ABCDE8306F,0,5434,No,2,952703,Employed,27,Own,147505,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_494,7293859603,ABCDE2317F,2,31296,No,1,470006,Employed,37,None,269280,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_685,1707378192,ABCDE2267F,2,25062,No,1,548928,Unemployed,54,Rent,428746,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_595,9354520450,ABCDE6614F,3,44557,Yes,1,493401,Unemployed,49,None,285768,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_849,8732388910,ABCDE5692F,5,65370,No,1,986563,Employed,49,Own,439937,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_908,9271333792,ABCDE9644F,2,79416,Yes,1,834510,Unemployed,25,Own,18889,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_522,5559728979,ABCDE2571F,4,84470,Yes,2,333618,Employed,23,Rent,244047,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_788,8867878593,ABCDE6914F,1,69714,Yes,0,235707,Employed,72,None,255144,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_720,2686538222,ABCDE7083F,5,17065,Yes,1,202560,Employed,63,None,374496,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_378,8669623581,ABCDE3329F,4,35196,No,0,425471,Self-Employed,36,Rent,440359,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_280,3238733771,ABCDE8738F,4,15262,No,0,465501,Unemployed,35,None,42589,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_221,4766897597,ABCDE3503F,4,5078,No,1,109105,Unemployed,51,Own,432814,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_55,4738420783,ABCDE3021F,3,14402,No,0,705735,Self-Employed,31,Rent,170623,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_454,4776788218,ABCDE7719F,5,61255,Yes,2,432474,Employed,43,None,363447,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_323,8569650639,ABCDE8705F,0,55532,No,0,880701,Employed,40,Rent,73363,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_445,3087934696,ABCDE2547F,4,26362,Yes,2,659800,Employed,63,Own,381005,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_910,7012165592,ABCDE9451F,1,43743,No,1,905004,Employed,28,Rent,373447,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_65,5988994515,ABCDE1769F,3,97045,Yes,0,180061,Self-Employed,45,None,499242,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_162,4751006458,ABCDE8047F,4,52901,No,2,787848,Self-Employed,44,Own,313876,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_354,5487080777,ABCDE3856F,5,15500,Yes,2,864575,Unemployed,38,Own,421624,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_394,7183490619,ABCDE8184F,3,97069,No,2,315081,Self-Employed,40,Own,213531,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_850,6138417884,ABCDE7080F,3,48422,Yes,2,496706,Self-Employed,29,Rent,287195,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_990,4191723360,ABCDE1478F,4,75923,Yes,2,879149,Employed,53,None,415002,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_160,5404814375,ABCDE8074F,4,59186,No,1,309243,Self-Employed,47,Own,45715,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_164,8495119023,ABCDE2997F,5,42534,Yes,1,978842,Employed,38,None,212435,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_777,5009908798,ABCDE6219F,4,79532,Yes,1,882393,Unemployed,22,Rent,157185,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_3,2703389151,ABCDE7273F,3,36897,No,2,661196,Employed,75,None,368694,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_616,1590954703,ABCDE1548F,3,29441,Yes,0,161815,Self-Employed,31,Own,169006,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_39,5444543203,ABCDE5802F,3,13187,No,2,538539,Self-Employed,34,Own,382103,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_920,9146013011,ABCDE8627F,2,26862,No,0,995748,Employed,62,Rent,323834,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_178,7435933296,ABCDE9416F,3,42594,Yes,0,506702,Employed,46,None,458104,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_909,7713469702,ABCDE9421F,1,6679,No,0,787708,Unemployed,48,Rent,494451,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_890,3107573858,ABCDE6268F,4,32220,No,2,726496,Unemployed,47,Own,430630,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_788,4791428109,ABCDE5526F,3,73402,Yes,1,600379,Employed,30,Rent,133842,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_536,4905371429,ABCDE2147F,2,19548,Yes,2,655887,Self-Employed,59,None,208974,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_725,4810797381,ABCDE7806F,5,25416,No,0,691743,Employed,18,Rent,134395,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_89,2396297517,ABCDE4664F,2,43481,Yes,1,923437,Employed,72,Own,266045,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_793,7963531009,ABCDE9194F,1,20061,Yes,0,839389,Employed,39,None,285912,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_563,7278288759,ABCDE6021F,1,38388,No,2,750240,Self-Employed,47,Own,267639,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_77,5121809875,ABCDE7787F,5,65832,No,0,523978,Unemployed,54,Rent,384966,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_739,5561993343,ABCDE2499F,1,28729,No,2,410983,Unemployed,58,None,285934,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_6,7333252499,ABCDE1184F,5,48469,Yes,1,928889,Employed,60,Rent,308908,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_590,2456563734,ABCDE1149F,0,16895,No,1,619217,Unemployed,35,Rent,306531,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_777,6379445963,ABCDE8079F,5,88633,Yes,1,142296,Unemployed,30,Own,153469,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_184,7925102947,ABCDE3378F,4,34329,Yes,2,167828,Self-Employed,52,Own,203088,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_908,3027358373,ABCDE5826F,0,87535,Yes,1,852959,Self-Employed,64,None,211286,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_329,3869960545,ABCDE6948F,4,79741,No,0,75981,Self-Employed,46,Own,416141,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_135,5235062759,ABCDE9667F,2,22715,Yes,2,778003,Employed,71,Own,435698,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_843,5977775158,ABCDE2915F,4,56151,Yes,1,162738,Unemployed,52,Rent,463622,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_532,2054863202,ABCDE4372F,2,10744,Yes,2,943711,Unemployed,32,None,277107,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_103,2662754111,ABCDE9884F,4,71753,Yes,0,296545,Employed,37,Own,108279,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_889,3325833757,ABCDE1707F,3,78075,No,0,259568,Unemployed,57,Rent,365331,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_889,7160270741,ABCDE5003F,0,69463,Yes,2,523358,Unemployed,34,Own,235426,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_894,7341909691,ABCDE6840F,0,65066,Yes,1,135809,Employed,55,None,181436,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_735,7304895733,ABCDE5049F,5,98330,No,1,350968,Unemployed,36,None,53975,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_638,4320780710,ABCDE1317F,2,96738,No,1,874084,Employed,41,Rent,226019,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_786,9740821260,ABCDE3301F,1,8789,Yes,0,349681,Employed,41,Own,3246,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_567,2083648876,ABCDE4698F,5,8839,No,2,339953,Employed,20,Own,195141,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_298,8636075563,ABCDE2149F,5,24775,No,1,506277,Self-Employed,42,None,399726,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_992,6277781615,ABCDE9187F,2,84665,Yes,2,132989,Unemployed,28,Rent,307722,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_129,8779686142,ABCDE9404F,5,21415,Yes,0,291858,Employed,60,Own,498529,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_927,1529020266,ABCDE8754F,2,74887,No,2,632473,Self-Employed,24,Own,358443,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_90,1389940819,ABCDE9453F,3,37622,Yes,0,643048,Employed,49,Rent,51894,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_439,9097636983,ABCDE7971F,3,24011,Yes,1,631666,Unemployed,60,None,205727,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_204,5248951036,ABCDE9927F,4,91500,No,2,500887,Employed,58,Rent,137931,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_303,8728752053,ABCDE4473F,0,67443,No,1,251448,Employed,70,None,145440,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_843,4966525422,ABCDE1082F,1,14586,Yes,0,625523,Employed,23,None,166502,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_891,4803778207,ABCDE2126F,3,23560,Yes,0,346399,Self-Employed,60,None,104270,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_163,3147414801,ABCDE9605F,1,37831,No,2,839249,Employed,23,Own,404100,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_638,3474573811,ABCDE4869F,1,32252,No,1,65109,Employed,29,None,482748,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_506,4298271818,ABCDE2801F,4,89767,Yes,0,882354,Employed,73,Own,481018,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_816,7908725181,ABCDE9324F,5,19834,Yes,0,404576,Self-Employed,34,Own,331918,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_95,4776772525,ABCDE6033F,4,27746,Yes,0,909141,Self-Employed,62,None,183475,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_373,9710537454,ABCDE6694F,1,42837,No,1,320820,Self-Employed,72,Rent,437210,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_122,5132326024,ABCDE2482F,3,20426,Yes,1,449864,Employed,26,None,165063,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_479,3048886498,ABCDE6193F,2,53320,No,1,966606,Employed,41,Rent,284424,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_67,5383642233,ABCDE4250F,4,37875,Yes,0,447882,Employed,67,None,34151,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_830,7105513568,ABCDE5851F,0,81344,No,0,571612,Unemployed,20,Rent,180267,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_585,6407044954,ABCDE5178F,0,5146,No,1,793351,Unemployed,45,Own,127968,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_642,7732273571,ABCDE4449F,2,63559,Yes,0,693403,Self-Employed,38,None,161257,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_218,4488078875,ABCDE3137F,5,14227,Yes,2,689208,Employed,36,Own,82864,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_865,9873262880,ABCDE4150F,0,50783,No,0,612010,Employed,36,None,300835,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_91,4719656973,ABCDE5069F,1,63314,Yes,2,827035,Employed,59,None,386087,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_373,3211881673,ABCDE8339F,5,66603,No,1,135849,Unemployed,42,None,123094,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_952,9581244195,ABCDE7884F,3,32951,No,2,650120,Self-Employed,21,Rent,224003,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_634,5211572620,ABCDE1372F,2,53574,Yes,1,89692,Employed,61,None,381978,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_85,3963370582,ABCDE1310F,4,26913,No,1,361228,Unemployed,38,Own,281348,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_628,7437407466,ABCDE3811F,5,34076,No,0,83126,Self-Employed,71,None,400069,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_662,3708400618,ABCDE7828F,3,74211,No,0,466844,Unemployed,51,Own,21969,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_209,4063981961,ABCDE8641F,5,28158,Yes,1,389574,Self-Employed,45,Own,46530,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_493,2912943382,ABCDE9493F,0,30346,Yes,1,154833,Self-Employed,64,Rent,293218,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_288,8322921845,ABCDE9238F,0,95138,No,2,174148,Employed,24,None,86724,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_938,3948272056,ABCDE3864F,5,14802,No,0,714692,Unemployed,51,Rent,190780,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_250,1664655616,ABCDE1739F,5,71635,Yes,1,658291,Unemployed,75,Own,108116,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_143,3700899264,ABCDE4685F,3,7762,No,2,721546,Employed,26,Rent,417564,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_177,9537525082,ABCDE5746F,3,48828,Yes,0,359592,Self-Employed,38,None,365492,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_813,1559734144,ABCDE7638F,2,88143,No,0,691548,Self-Employed,28,Own,345027,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_507,7094974023,ABCDE6201F,1,36012,Yes,1,773701,Self-Employed,33,Rent,188055,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_329,1572696798,ABCDE6731F,5,61454,Yes,1,320011,Self-Employed,66,None,367743,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_833,5333209663,ABCDE3315F,0,76918,No,0,682779,Unemployed,59,Own,231066,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_900,3985256223,ABCDE7416F,1,78505,No,0,528682,Self-Employed,75,None,457087,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_375,9708579531,ABCDE4564F,3,84072,No,2,305766,Unemployed,71,None,489082,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_213,3946034208,ABCDE8752F,5,48489,Yes,2,395741,Self-Employed,42,Own,267089,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_307,2338846365,ABCDE5629F,5,7688,No,0,211057,Self-Employed,25,None,463050,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_243,3136066275,ABCDE5223F,0,69428,No,1,322612,Employed,55,None,347863,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_907,7965125556,ABCDE7567F,4,66329,No,0,873126,Unemployed,64,Rent,99197,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_375,4227331613,ABCDE9355F,1,74346,Yes,0,914470,Employed,44,None,322098,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_176,3905903057,ABCDE2766F,3,9753,Yes,2,482623,Self-Employed,19,Rent,142397,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_37,4558965963,ABCDE8328F,0,66177,No,2,674847,Employed,57,Rent,235196,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_154,2187085237,ABCDE1975F,4,87549,No,1,601384,Employed,63,Own,362718,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
