Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_753,186868278747,ABCDE3254F,4,77042,No,0,215215,Employed,18,No Property,173033,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_741,587769265821,ABCDE4038F,1,39201,Yes,0,114161,Employed,55,Own,124417,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_626,252240772176,ABCDE3686F,2,89905,Yes,1,187037,Self-Employed,44,Rent,241098,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_336,335774358997,ABCDE3626F,4,27416,Yes,1,261426,Employed,63,Rent,245394,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_526,814138190678,ABCDE2966F,4,36432,No,0,164778,Employed,64,Rent,315668,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_760,237133673096,ABCDE4446F,3,38459,Yes,0,52389,Self-Employed,37,Rent,94457,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_960,542938934127,ABCDE2213F,2,26642,Yes,1,227166,Employed,60,Own,124686,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_107,131713112415,ABCDE7096F,5,58715,Yes,2,76821,Employed,30,Own,48051,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_546,677599184737,ABCDE5679F,4,70328,No,2,63828,Unemployed,73,No Property,88853,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_9,323972341758,ABCDE5817F,0,44991,Yes,0,259016,Employed,55,No Property,178167,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_694,720922956925,ABCDE1807F,4,26551,Yes,0,208842,Unemployed,29,Rent,285934,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_6,481469404635,ABCDE6422F,5,29397,No,2,102715,Self-Employed,47,Rent,45954,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_276,377853741095,ABCDE4383F,3,68841,Yes,2,249793,Self-Employed,44,Rent,345800,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_297,674855251240,ABCDE2187F,2,29407,Yes,1,247452,Employed,56,Rent,226736,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_440,435548610350,ABCDE2889F,1,92917,Yes,1,205972,Unemployed,47,Rent,313630,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_203,388974054162,ABCDE2600F,1,47853,Yes,1,103885,Unemployed,71,No Property,21036,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_59,513050366558,ABCDE9850F,1,49386,Yes,1,212781,Employed,49,Own,294580,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_847,543003545942,ABCDE8941F,2,70642,Yes,0,42564,Self-Employed,27,Rent,23724,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_521,113207281567,ABCDE6143F,0,52234,No,1,162099,Unemployed,39,Rent,230625,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_870,807042806548,ABCDE4032F,4,37358,Yes,1,151520,Employed,49,Rent,239510,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_964,314823064621,ABCDE6902F,0,63689,Yes,0,92077,Self-Employed,75,No Property,48955,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_377,391144555114,ABCDE2948F,3,27316,Yes,0,168470,Employed,38,Rent,122667,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_750,663819314063,ABCDE1442F,5,6856,No,2,77743,Employed,49,No Property,82450,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_191,379907250415,ABCDE5595F,1,39843,Yes,2,101017,Self-Employed,49,No Property,140055,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_590,237049908344,ABCDE6309F,1,19711,No,1,173509,Self-Employed,64,Rent,294554,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_80,110405557508,ABCDE7277F,0,56099,Yes,2,298619,Employed,61,Own,160004,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_609,509034527572,ABCDE6872F,1,60120,No,1,130090,Self-Employed,44,No Property,124583,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_506,323645976360,ABCDE3575F,4,47498,Yes,2,108936,Employed,45,Own,72325,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_323,545631962512,ABCDE5582F,1,69164,No,0,262663,Employed,27,Rent,242372,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_299,293188304936,ABCDE4550F,4,7075,Yes,0,141099,Employed,61,No Property,71887,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_864,623201620798,ABCDE5944F,4,23916,Yes,1,100816,Employed,25,No Property,48517,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_807,948006908658,ABCDE4128F,3,52576,No,0,142117,Employed,31,Rent,37149,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_831,886418420727,ABCDE2790F,0,47693,Yes,1,96831,Unemployed,71,No Property,131269,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_291,904517331273,ABCDE2972F,5,61595,Yes,1,70616,Employed,26,No Property,149090,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_735,598552196165,ABCDE8512F,3,25501,Yes,0,180591,Employed,33,No Property,117213,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_983,269549760292,ABCDE1537F,4,12170,Yes,0,41075,Unemployed,40,Rent,64252,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_890,556944128819,ABCDE6046F,0,40128,No,1,65860,Employed,23,Own,131337,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_686,277451247159,ABCDE1415F,2,28412,Yes,0,297678,Employed,65,No Property,278955,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_132,999476704450,ABCDE7622F,1,18968,No,1,93968,Employed,23,Own,126134,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_221,417457561676,ABCDE3006F,2,41041,Yes,1,178155,Employed,34,No Property,111384,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_981,747682888552,ABCDE8835F,2,18192,No,0,255352,Unemployed,47,Rent,155852,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_929,277831974173,ABCDE2820F,0,81643,No,0,253001,Employed,62,Own,280197,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_494,284589016049,ABCDE8583F,4,56693,Yes,2,116017,Employed,21,Own,93221,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_367,214293186839,ABCDE7804F,4,53708,Yes,2,211769,Self-Employed,34,Own,318881,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_591,635888077975,ABCDE1556F,3,26301,Yes,0,239922,Self-Employed,71,No Property,234121,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_305,598261570287,ABCDE4614F,0,30445,No,0,148917,Unemployed,72,Rent,124146,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_233,981870278132,ABCDE4419F,3,74203,Yes,0,64526,Employed,33,Own,126046,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_874,383052819512,ABCDE6845F,5,8259,Yes,2,105529,Employed,32,Rent,66808,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_881,220268622125,ABCDE8141F,2,69423,Yes,2,27928,Self-Employed,47,No Property,40340,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_872,586734042736,ABCDE1078F,0,79443,Yes,2,59919,Employed,42,Own,61448,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_114,110413066154,ABCDE4937F,2,68033,No,2,108167,Employed,65,Own,111338,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_335,487563704015,ABCDE7081F,2,9247,Yes,0,185752,Employed,45,Rent,378351,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_479,636721389086,ABCDE7468F,0,57664,No,0,233988,Unemployed,34,Own,205756,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_892,916722918389,ABCDE2657F,3,13297,No,2,224031,Employed,59,No Property,387706,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_361,349192997553,ABCDE2535F,1,39718,No,1,196816,Employed,64,No Property,102653,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_78,398056185855,ABCDE2180F,0,72713,Yes,0,92816,Unemployed,48,Own,80329,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_720,376583733582,ABCDE2698F,5,91285,No,0,150370,Unemployed,62,Rent,192628,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_396,270096379367,ABCDE1382F,3,91060,Yes,1,76431,Unemployed,41,Own,70651,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_304,418546949343,ABCDE3425F,1,77686,Yes,1,83355,Employed,60,No Property,132264,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_970,774729671388,ABCDE8405F,0,64857,No,1,183554,Self-Employed,61,Rent,307762,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_109,491822100233,ABCDE6711F,5,49315,Yes,0,34120,Employed,33,No Property,31375,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_383,383715033925,ABCDE5441F,5,39357,Yes,2,97758,Employed,64,Own,40639,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_304,680014782246,ABCDE1506F,4,55689,No,2,253691,Employed,44,No Property,112778,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_974,391933683476,ABCDE1927F,4,27385,No,0,159978,Self-Employed,29,No Property,223204,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_457,596506062902,ABCDE4591F,0,10027,Yes,1,212845,Unemployed,53,Own,214110,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_4,372202207526,ABCDE5657F,4,45740,Yes,0,130123,Employed,71,Own,76014,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_78,285080021457,ABCDE8886F,1,98368,No,2,187447,Employed,52,Rent,363218,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_685,298436053917,ABCDE5388F,1,6809,Yes,2,103429,Unemployed,67,Own,35543,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_275,161694526532,ABCDE3924F,1,53041,No,2,225960,Employed,37,No Property,274456,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_763,799238473340,ABCDE4890F,2,97078,No,1,272306,Employed,56,Rent,227920,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_811,562495584883,ABCDE8963F,2,57749,No,1,271266,Unemployed,33,No Property,172181,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_856,482084532377,ABCDE2278F,3,60396,Yes,1,186414,Employed,63,Own,172315,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_309,169048555209,ABCDE5367F,4,41803,No,2,199649,Self-Employed,52,No Property,356501,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_689,132426500781,ABCDE7908F,1,22245,No,2,115099,Employed,61,Own,89581,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_426,398137626128,ABCDE6154F,1,17276,Yes,1,247625,Unemployed,34,Rent,123695,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_272,442347344712,ABCDE7227F,1,79640,No,1,38485,Employed,65,Own,46932,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_116,367542815130,ABCDE5991F,5,29917,No,2,190637,Employed,20,No Property,280251,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_297,515142907964,ABCDE7279F,3,72122,Yes,1,154956,Employed,41,Own,207834,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_465,757686201897,ABCDE4127F,2,38878,No,2,76733,Employed,52,Rent,102820,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_187,834406366257,ABCDE2319F,1,98640,Yes,0,88136,Unemployed,28,Rent,66146,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_544,258695297921,ABCDE2904F,5,75158,Yes,0,196427,Unemployed,30,Rent,362617,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_718,623969671973,ABCDE8166F,1,96165,No,2,111610,Self-Employed,37,No Property,126276,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_812,719579045475,ABCDE9971F,5,38789,Yes,2,85014,Employed,45,Rent,129387,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_83,906682000682,ABCDE7652F,1,17175,No,2,66606,Employed,31,Own,37784,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_40,585881927733,ABCDE8902F,5,14017,No,1,70564,Employed,60,Own,66988,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_539,776676911216,ABCDE6051F,4,79333,No,1,287844,Employed,69,Own,325726,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_458,830916190124,ABCDE3475F,5,57615,Yes,2,237324,Unemployed,26,Own,196295,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_947,747018454953,ABCDE1788F,0,71154,Yes,0,103075,Employed,57,Own,128617,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_895,381091063501,ABCDE4118F,0,72770,No,2,38692,Unemployed,64,No Property,60995,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_946,921603778964,ABCDE3435F,0,12758,Yes,1,165812,Self-Employed,74,No Property,127916,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_75,630432043348,ABCDE9673F,1,45200,No,2,83875,Unemployed,53,Rent,36185,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_133,224162209083,ABCDE9479F,5,80253,Yes,2,262658,Employed,26,Rent,280072,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_780,789674058072,ABCDE5569F,4,19811,Yes,0,141811,Self-Employed,59,No Property,133336,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_880,250010466173,ABCDE5154F,3,67067,Yes,0,139954,Self-Employed,55,Own,114930,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_696,449500684860,ABCDE4848F,5,5118,No,0,103649,Employed,61,No Property,47580,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_608,819971495496,ABCDE8906F,2,98452,Yes,2,167204,Employed,35,Rent,348179,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_657,747471265703,ABCDE2302F,3,80880,No,2,126385,Employed,40,Rent,117646,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_429,537390628527,ABCDE9071F,3,38429,No,1,107639,Employed,36,Rent,21325,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_403,867412633737,ABCDE3400F,1,52387,Yes,0,142606,Self-Employed,75,Rent,49267,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_249,332099388290,ABCDE1504F,3,25780,No,1,157571,Unemployed,59,Rent,126694,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_811,555989020978,ABCDE9241F,1,70013,No,0,252440,Employed,48,No Property,363457,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_563,860830926699,ABCDE3102F,0,10912,No,2,159272,Unemployed,57,No Property,242977,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_55,204210199286,ABCDE4091F,5,40192,No,0,137001,Unemployed,30,Rent,64897,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_367,188552027952,ABCDE2562F,2,90210,Yes,0,29356,Self-Employed,20,No Property,142788,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_645,896960070932,ABCDE9617F,4,55658,Yes,0,102608,Self-Employed,35,No Property,133648,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_621,941143543076,ABCDE9514F,3,27928,No,2,271388,Self-Employed,28,No Property,171111,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_977,730399855761,ABCDE6176F,3,79968,No,2,234138,Employed,53,Own,187813,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_847,955073555407,ABCDE6086F,1,51191,No,0,242585,Employed,26,Own,358228,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_546,710529590885,ABCDE7715F,1,61311,Yes,0,42580,Employed,26,Own,121075,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_576,919535700785,ABCDE7076F,1,87164,Yes,1,154348,Employed,31,Rent,228708,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_233,968144463011,ABCDE9838F,5,78484,No,0,227599,Unemployed,35,Rent,314423,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_204,127479550726,ABCDE4537F,2,67269,No,2,74940,Employed,60,Rent,81229,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_494,487476187768,ABCDE3476F,5,75843,Yes,1,184966,Unemployed,73,Own,353664,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_335,406980807157,ABCDE2571F,3,76037,Yes,1,274083,Unemployed,63,Own,125131,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_985,860594004448,ABCDE4254F,0,61145,No,2,152813,Unemployed,45,Rent,162213,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_902,904807058087,ABCDE6563F,2,72918,Yes,0,154803,Employed,59,Own,338751,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_723,446390819266,ABCDE2872F,4,53654,No,1,152680,Employed,74,Rent,320137,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_512,821060664226,ABCDE2583F,1,52157,No,0,176782,Employed,29,Own,133069,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_149,920758321483,ABCDE1620F,1,5279,No,0,154595,Employed,30,Rent,303884,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_348,468856812187,ABCDE7329F,4,96841,No,0,183976,Unemployed,53,No Property,283416,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_775,564201728628,ABCDE3305F,1,90453,Yes,0,71790,Employed,53,Rent,123594,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_288,481272830167,ABCDE8171F,5,43488,No,2,193003,Employed,63,No Property,126095,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_374,996074535786,ABCDE8151F,4,79631,No,1,57029,Unemployed,25,Rent,126205,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_419,679974923529,ABCDE8678F,2,28148,Yes,0,211092,Unemployed,59,No Property,347047,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_331,673021079284,ABCDE6798F,0,46111,No,2,254865,Self-Employed,57,No Property,349086,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_474,896260796586,ABCDE1980F,2,35662,Yes,2,109007,Employed,20,Rent,105363,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_219,865132895669,ABCDE2011F,3,94691,Yes,2,143562,Employed,64,Own,80436,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_868,539926710137,ABCDE4976F,3,36843,Yes,2,209035,Self-Employed,63,Own,253694,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_603,322080784411,ABCDE6436F,5,81233,No,1,274820,Employed,19,No Property,150724,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_409,629612382033,ABCDE3481F,3,98074,Yes,2,63009,Self-Employed,75,No Property,86169,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_999,531506018866,ABCDE2323F,5,31650,No,0,88040,Unemployed,40,Own,97743,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_250,239018473999,ABCDE3715F,0,66207,Yes,1,152666,Employed,43,Rent,146382,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_983,920641920439,ABCDE4918F,1,6310,Yes,2,61594,Employed,31,Own,104023,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_693,301784318321,ABCDE8951F,4,60111,No,2,163078,Self-Employed,30,Rent,212683,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_950,202645168387,ABCDE4620F,3,91839,No,2,180549,Self-Employed,25,Own,399799,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_432,998693145364,ABCDE4305F,5,19879,Yes,0,32040,Self-Employed,54,Rent,116532,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_687,199911077912,ABCDE8042F,3,32400,No,0,119855,Self-Employed,66,Own,24925,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_884,589607243814,ABCDE4855F,1,37954,No,1,88988,Unemployed,44,Rent,33859,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_788,111545844813,ABCDE8300F,1,96782,No,0,228505,Employed,45,Rent,174411,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_854,961165618381,ABCDE3685F,2,90650,No,2,62709,Unemployed,22,No Property,87648,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_722,511642062148,ABCDE9901F,4,47249,Yes,1,25114,Employed,48,Own,78125,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_943,684316760142,ABCDE3134F,1,11495,No,2,42636,Employed,31,No Property,73658,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_556,833012492886,ABCDE9881F,1,99540,No,2,62857,Employed,25,Own,39615,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_420,893408317618,ABCDE1365F,2,77392,No,0,134390,Unemployed,40,No Property,141990,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_644,434388463372,ABCDE7882F,5,57641,No,1,255501,Employed,22,Rent,165075,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_572,533856887502,ABCDE5151F,2,66277,Yes,1,93683,Employed,37,No Property,118437,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_515,694783178260,ABCDE3424F,5,78035,No,2,106464,Unemployed,55,Own,57725,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_697,264933492340,ABCDE7034F,5,54466,Yes,1,163449,Employed,75,No Property,250085,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_647,393169172002,ABCDE7414F,3,53456,No,1,177432,Unemployed,49,Rent,330692,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_633,354563943416,ABCDE4794F,0,42496,No,0,91952,Unemployed,59,Rent,121569,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_842,183760082208,ABCDE3635F,2,36416,Yes,2,279581,Employed,67,Rent,357886,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_488,659510825922,ABCDE5347F,4,73997,No,1,272483,Employed,18,No Property,275632,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_437,364438187166,ABCDE9873F,2,88831,Yes,0,43726,Employed,21,No Property,45701,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_891,630291910167,ABCDE6900F,3,48104,No,1,76038,Self-Employed,24,Rent,26916,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_47,857013234362,ABCDE6135F,5,53633,No,2,133049,Self-Employed,35,Own,37938,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_580,535791787149,ABCDE9589F,3,30184,Yes,1,255649,Self-Employed,60,No Property,296009,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_654,654790639737,ABCDE8897F,0,46734,Yes,1,230484,Employed,48,No Property,194970,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_403,563017744823,ABCDE5727F,1,42194,No,0,204280,Self-Employed,74,Rent,170770,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_340,934463218343,ABCDE5794F,1,79386,Yes,2,275363,Employed,64,No Property,340315,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_571,158957238683,ABCDE8360F,1,13681,Yes,2,274477,Employed,26,No Property,247109,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_617,876635395491,ABCDE4049F,3,88733,Yes,1,160651,Employed,58,No Property,374000,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_171,463049124947,ABCDE8157F,2,88824,Yes,2,25485,Employed,58,No Property,63405,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_398,891317564633,ABCDE9803F,4,35523,No,1,143913,Employed,57,Own,64589,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_319,972716285246,ABCDE9674F,0,36872,Yes,0,44173,Employed,33,Own,28825,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_353,393108707481,ABCDE3098F,3,27161,Yes,0,279352,Employed,68,No Property,353856,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_34,998829503005,ABCDE2886F,2,76812,No,2,249407,Employed,62,Own,363921,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_975,616915837895,ABCDE2709F,4,8966,Yes,0,57220,Self-Employed,18,Rent,86313,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_444,210163112349,ABCDE5407F,0,52421,No,2,106866,Employed,23,No Property,149513,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_145,304660660594,ABCDE1853F,1,44845,No,0,173434,Employed,62,Own,118396,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_695,399284393725,ABCDE4598F,5,30414,No,0,142004,Unemployed,53,Rent,48248,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_871,205373088336,ABCDE4857F,3,83872,No,1,260002,Self-Employed,51,Rent,206033,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_923,150169507082,ABCDE3416F,2,72438,No,2,160582,Employed,60,No Property,321362,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_824,944266227927,ABCDE1912F,5,39923,No,2,245955,Unemployed,51,Rent,164219,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_668,326554363673,ABCDE8197F,1,38018,Yes,0,31540,Employed,58,Rent,43166,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_965,115971365493,ABCDE3255F,3,43494,Yes,2,163647,Self-Employed,61,Own,247002,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
